t, ω_1, EK_1 
1.0100000000000007, 111.39233455982729, 6204.1260993442465 
1.0200000000000007, 111.3580171866327, 6200.303995869192 
1.0300000000000007, 111.3237196119341, 6196.48527411826 
1.0400000000000007, 111.28944181821416, 6192.6699301048375 
1.0500000000000007, 111.25518378797622, 6188.857959848184 
1.0600000000000007, 111.2209455037442, 6185.049359373419 
1.0700000000000007, 111.18672694806264, 6181.244124711519 
1.0800000000000007, 111.15252810349664, 6177.442251899305 
1.0900000000000007, 111.11834895263178, 6173.643736979422 
1.1000000000000008, 111.08418947807424, 6169.84857600035 
1.1100000000000008, 111.05004966245058, 6166.056765016369 
1.1200000000000008, 111.0159294884078, 6162.268300087567 
1.1300000000000008, 110.98182893861335, 6158.483177279818 
1.1400000000000008, 110.94774799575504, 6154.701392664783 
1.1500000000000008, 110.91368664254104, 6150.922942319893 
1.1600000000000008, 110.87964486169982, 6147.1478223283375 
1.1700000000000008, 110.84562263598015, 6143.376028779057 
1.1800000000000008, 110.81161994815108, 6139.607557766737 
1.1900000000000008, 110.77763678100185, 6135.842405391786 
1.2000000000000008, 110.74367311734191, 6132.080567760339 
1.2100000000000009, 110.70972894000091, 6128.322040984238 
1.2200000000000009, 110.67580423182861, 6124.566821181025 
1.2300000000000009, 110.64189897569489, 6120.814904473937 
1.2400000000000009, 110.6080131544897, 6117.066286991883 
1.2500000000000009, 110.57414675112308, 6113.320964869452 
1.260000000000001, 110.54029974852507, 6109.578934246886 
1.270000000000001, 110.50647212964569, 6105.840191270079 
1.280000000000001, 110.4726638774549, 6102.104732090565 
1.290000000000001, 110.43887497494268, 6098.37255286551 
1.300000000000001, 110.40510540511882, 6094.643649757698 
1.310000000000001, 110.37135515101308, 6090.91801893553 
1.320000000000001, 110.33762419567499, 6087.1956565730015 
1.330000000000001, 110.30391252217396, 6083.476558849703 
1.340000000000001, 110.27022011359911, 6079.760721950799 
1.350000000000001, 110.23654695305939, 6076.048142067034 
1.360000000000001, 110.20289302368347, 6072.338815394712 
1.370000000000001, 110.16925830861973, 6068.632738135689 
1.380000000000001, 110.13564279103619, 6064.929906497361 
1.390000000000001, 110.10204645412054, 6061.230316692659 
1.400000000000001, 110.06846928108008, 6057.533964940035 
1.410000000000001, 110.0349112551417, 6053.840847463454 
1.420000000000001, 110.00137235955184, 6050.150960492388 
1.430000000000001, 109.9678525775765, 6046.464300261799 
1.440000000000001, 109.93435189250114, 6042.780863012134 
1.450000000000001, 109.90087028763074, 6039.100644989318 
1.460000000000001, 109.8674077462897, 6035.423642444739 
1.470000000000001, 109.83396425182185, 6031.749851635241 
1.480000000000001, 109.8005397875904, 6028.07926882311 
1.490000000000001, 109.76713433697788, 6024.411890276074 
1.500000000000001, 109.73374788338624, 6020.747712267287 
1.5100000000000011, 109.7003804102367, 6017.086731075323 
1.5200000000000011, 109.66703190096973, 6013.4289429841565 
1.5300000000000011, 109.63370233904507, 6009.774344283169 
1.5400000000000011, 109.60039170794168, 6006.122931267126 
1.5500000000000012, 109.56709999115772, 6002.474700236176 
1.5600000000000012, 109.5338271722105, 5998.829647495839 
1.5700000000000012, 109.50057323463646, 5995.187769356991 
1.5800000000000012, 109.46733816199121, 5991.549062135869 
1.5900000000000012, 109.43412193784934, 5987.913522154039 
1.6000000000000012, 109.40092454580459, 5984.281145738414 
1.6100000000000012, 109.36774596946967, 5980.651929221224 
1.6200000000000012, 109.3345861924763, 5977.025868940014 
1.6300000000000012, 109.30144519847518, 5973.402961237636 
1.6400000000000012, 109.26832297113597, 5969.78320246224 
1.6500000000000012, 109.23521949414722, 5966.16658896726 
1.6600000000000013, 109.20213475121636, 5962.553117111408 
1.6700000000000013, 109.16906872606972, 5958.942783258667 
1.6800000000000013, 109.13602140245244, 5955.335583778279 
1.6900000000000013, 109.10299276412847, 5951.731515044735 
1.7000000000000013, 109.06998279488054, 5948.130573437769 
1.7100000000000013, 109.03699147851015, 5944.532755342347 
1.7200000000000013, 109.00401879883748, 5940.938057148657 
1.7300000000000013, 108.97106473970145, 5937.346475252102 
1.7400000000000013, 108.93812928495964, 5933.758006053291 
1.7500000000000013, 108.9052124184883, 5930.1726459580295 
1.7600000000000013, 108.87231412418224, 5926.590391377305 
