t,x,y
4.676000e1,-3.247204e2,5.400808e1
4.680000e1,-3.239116e2,5.751839e1
4.684000e1,-3.238331e2,6.143730e1
4.688000e1,-3.233138e2,6.485344e1
4.692000e1,-3.233310e2,6.881786e1
4.696000e1,-3.224587e2,7.245446e1
4.700000e1,-3.215473e2,7.553633e1
4.704000e1,-3.203140e2,8.012899e1
4.708000e1,-3.199374e2,8.386179e1
4.712000e1,-3.197053e2,8.743228e1
4.716000e1,-3.184838e2,9.168460e1
4.720000e1,-3.177373e2,9.522431e1
4.724000e1,-3.157747e2,9.887783e1
4.728000e1,-3.149980e2,1.022088e2
4.732000e1,-3.137259e2,1.062176e2
4.736000e1,-3.121603e2,1.104287e2
4.740000e1,-3.110703e2,1.131350e2
4.744000e1,-3.096040e2,1.172053e2
4.748000e1,-3.090545e2,1.204361e2
4.752000e1,-3.076524e2,1.240910e2
4.756000e1,-3.060475e2,1.278837e2
4.760000e1,-3.047461e2,1.312057e2
4.764000e1,-3.031588e2,1.349899e2
4.768000e1,-3.024043e2,1.395380e2
4.772000e1,-3.001957e2,1.425844e2
4.776000e1,-2.989810e2,1.470909e2
4.780000e1,-2.971059e2,1.499710e2
4.784000e1,-2.961331e2,1.539326e2
4.788000e1,-2.940141e2,1.574959e2
4.792000e1,-2.931652e2,1.619740e2
4.796000e1,-2.911415e2,1.651699e2
4.800000e1,-2.886376e2,1.683407e2
4.804000e1,-2.864992e2,1.719673e2
4.808000e1,-2.841111e2,1.764126e2
4.812000e1,-2.824500e2,1.788928e2
4.816000e1,-2.806982e2,1.831884e2
4.820000e1,-2.785406e2,1.859141e2
4.824000e1,-2.766428e2,1.894831e2
4.828000e1,-2.738566e2,1.932595e2
4.832000e1,-2.722532e2,1.970287e2
4.836000e1,-2.694904e2,1.990969e2
4.840000e1,-2.669465e2,2.023223e2
4.844000e1,-2.656572e2,2.078044e2
4.848000e1,-2.626218e2,2.099376e2
4.852000e1,-2.603251e2,2.120003e2
4.856000e1,-2.584588e2,2.150117e2
4.860000e1,-2.550994e2,2.190882e2
4.864000e1,-2.527107e2,2.214827e2
4.868000e1,-2.497934e2,2.239090e2
4.872000e1,-2.477379e2,2.270724e2
4.876000e1,-2.449673e2,2.302820e2
4.880000e1,-2.423506e2,2.340964e2
4.884000e1,-2.405655e2,2.366786e2
4.888000e1,-2.372724e2,2.384154e2
4.892000e1,-2.345786e2,2.419899e2
4.896000e1,-2.323287e2,2.453796e2
