Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
3.64%,304,,,,,
3.65%,359,,,,,
3.66%,355,,,,,
3.67%,353,,,,,
3.68%,368,,,,,
3.69%,312,,,,,
3.70%,327,,,,,
3.71%,316,,,,,
3.72%,361,,,,,
3.73%,355,,,,,
3.74%,352,,,,,
3.75%,338,,,,,
3.76%,361,,,,,
3.77%,343,,,,,
3.78%,331,,,,,
3.79%,355,,,,,
3.80%,327,,,,,
3.81%,312,,,,,
3.82%,357,,,,,
3.83%,367,,,,,
3.84%,344,,,,,
3.85%,373,,,,,
3.86%,331,,,,,
3.87%,349,,,,,
3.88%,360,,,,,
3.89%,325,,,,,
3.90%,338,,,,,
3.91%,331,,,,,
3.92%,357,,,,,
3.93%,329,,,,,
3.94%,346,,,,,
3.95%,358,,,,,
3.96%,333,,,,,
3.97%,317,,,,,
3.98%,339,,,,,
3.99%,316,,,,,
4%,328,,,,,
4.01%,324,,,,,
4.02%,345,,,,,
4.03%,320,,,,,
4.04%,314,,,,,
4.05%,351,,,,,
4.06%,365,,,,,
4.07%,332,,,,,
4.08%,337,,,,,
4.09%,340,,,,,
4.10%,337,,,,,
4.11%,313,,,,,
4.12%,362,,,,,
4.13%,364,,,,,
4.14%,358,,,,,
4.15%,334,,,,,
4.16%,348,,,,,
4.17%,311,,,,,
4.18%,356,,,,,
4.19%,338,,,,,
4.20%,327,,,,,
4.21%,340,,,,,
4.22%,329,,,,,
4.23%,341,,,,,
4.24%,347,,,,,
4.25%,347,,,,,
4.26%,377,,,,,
4.27%,341,,,,,
4.28%,336,,,,,
4.29%,340,,,,,
4.30%,317,,,,,
4.31%,324,,,,,
4.32%,345,,,,,
4.33%,367,,,,,
4.34%,354,,,,,
4.35%,330,,,,,
4.36%,322,,,,,
4.37%,366,,,,,
4.38%,326,,,,,
4.39%,352,,,,,
4.40%,326,,,,,
4.41%,320,,,,,
4.42%,344,,,,,
4.43%,341,,,,,
4.44%,343,,,,,
4.45%,323,,,,,
4.46%,358,,,,,
4.47%,330,,,,,
4.48%,375,,,,,
4.49%,356,,,,,
4.50%,313,,,,,
4.51%,310,,,,,
4.52%,346,,,,,
4.53%,335,,,,,
4.54%,328,,,,,
4.55%,292,,,,,
4.56%,348,,,,,
4.57%,345,,,,,
4.58%,342,,,,,
4.59%,336,,,,,
4.60%,334,,,,,
4.61%,338,,,,,
4.62%,315,,,,,
4.63%,349,,,,,
4.64%,303,,,,,
4.65%,343,,,,,
4.66%,338,,,,,
4.67%,324,,,,,
4.68%,327,,,,,
4.69%,314,,,,,
4.70%,322,,,,,
4.71%,370,,,,,
4.72%,349,,,,,
4.73%,338,,,,,
4.74%,319,,,,,
4.75%,347,,,,,
4.76%,336,,,,,
4.77%,313,,,,,
4.78%,351,,,,,
4.79%,340,,,,,
4.80%,330,,,,,
4.81%,311,,,,,
4.82%,352,,,,,
4.83%,336,,,,,
4.84%,360,,,,,
4.85%,372,,,,,
4.86%,364,,,,,
4.87%,330,,,,,
4.88%,333,,,,,
4.89%,367,,,,,
4.90%,346,,,,,
4.91%,305,,,,,
4.92%,321,,,,,
4.93%,324,,,,,
4.94%,347,,,,,
4.95%,378,,,,,
4.96%,345,,,,,
4.97%,325,,,,,
4.98%,318,,,,,
4.99%,323,,,,,
5%,328,,,,,
5.01%,369,,,,,
5.02%,383,,,,,
5.03%,319,,,,,
5.04%,350,,,,,
5.05%,334,,,,,
5.06%,349,,,,,
5.07%,333,,,,,
5.08%,343,,,,,
5.09%,333,,,,,
5.10%,296,,,,,
5.11%,347,,,,,
5.12%,332,,,,,
5.13%,319,,,,,
5.14%,348,,,,,
5.15%,333,,,,,
5.16%,348,,,,,
5.17%,337,,,,,
5.18%,350,,,,,
5.19%,323,,,,,
5.20%,355,,,,,
5.21%,315,,,,,
5.22%,351,,,,,
5.23%,361,,,,,
5.24%,292,,,,,
5.25%,303,,,,,
5.26%,337,,,,,
5.27%,341,,,,,
5.28%,325,,,,,
5.29%,323,,,,,
5.30%,323,,,,,
5.31%,340,,,,,
5.32%,330,,,,,
5.33%,339,,,,,
5.34%,326,,,,,
5.35%,318,,,,,
5.36%,330,,,,,
5.37%,335,,,,,
5.38%,347,,,,,
5.39%,335,,,,,
5.40%,282,,,,,
5.41%,347,,,,,
5.42%,325,,,,,
5.43%,311,,,,,
5.44%,292,,,,,
5.45%,310,,,,,
5.46%,312,,,,,
5.47%,357,,,,,
5.48%,330,,,,,
5.49%,341,,,,,
5.50%,272,,,,,
5.51%,301,,,,,
5.52%,314,,,,,
5.53%,317,,,,,
5.54%,326,,,,,
5.55%,303,,,,,
5.56%,332,,,,,
5.57%,305,,,,,
5.58%,341,,,,,
5.59%,317,,,,,
5.60%,353,,,,,
5.61%,323,,,,,
5.62%,336,,,,,
5.63%,300,,,,,
5.64%,320,,,,,
5.65%,325,,,,,
5.66%,338,,,,,
5.67%,310,,,,,
5.68%,296,,,,,
5.69%,341,,,,,
5.70%,328,,,,,
5.71%,341,,,,,
5.72%,312,,,,,
5.73%,352,,,,,
5.74%,301,,,,,
5.75%,353,,,,,
5.76%,338,,,,,
5.77%,328,,,,,
5.78%,311,,,,,
5.79%,333,,,,,
5.80%,320,,,,,
5.81%,294,,,,,
5.82%,350,,,,,
5.83%,317,,,,,
5.84%,318,,,,,
5.85%,316,,,,,
5.86%,319,,,,,
5.87%,332,,,,,
5.88%,295,,,,,
5.89%,334,,,,,
5.90%,312,,,,,
5.91%,342,,,,,
5.92%,326,,,,,
5.93%,283,,,,,
5.94%,316,,,,,
5.95%,305,,,,,
5.96%,323,,,,,
5.97%,325,,,,,
5.98%,349,,,,,
5.99%,330,,,,,
6%,340,,,,,
6.01%,330,,,,,
6.02%,340,,,,,
6.03%,316,,,,,
6.04%,324,,,,,
6.05%,347,,,,,
6.06%,355,,,,,
6.07%,312,,,,,
6.08%,363,,,,,
6.09%,319,,,,,
6.10%,331,,,,,
6.11%,341,,,,,
6.12%,317,,,,,
6.13%,358,,,,,
6.14%,359,,,,,
6.15%,344,,,,,
6.16%,329,,,,,
6.17%,319,,,,,
6.18%,301,,,,,
6.19%,295,,,,,
6.20%,324,,,,,
6.21%,278,,,,,
6.22%,301,,,,,
6.23%,356,,,,,
6.24%,311,,,,,
6.25%,342,,,,,
6.26%,323,,,,,
6.27%,313,,,,,
6.28%,359,,,,,
6.29%,337,,,,,
6.30%,336,,,,,
6.31%,338,,,,,
6.32%,305,,,,,
6.33%,318,,,,,
6.34%,322,,,,,
6.35%,320,,,,,
6.36%,347,,,,,
6.37%,292,,,,,
6.38%,293,,,,,
6.39%,328,,,,,
6.40%,310,,,,,
6.41%,330,,,,,
6.42%,320,,,,,
6.43%,338,,,,,
6.44%,326,,,,,
6.45%,356,,,,,
6.46%,264,,,,,
6.47%,313,,,,,
6.48%,329,,,,,
6.49%,334,,,,,
6.50%,310,,,,,
6.51%,303,,,,,
6.52%,303,,,,,
