Max Height Percentage, Count, Total Collision Count, Time increment τ[s], MaxH, StartH, Count of y_0' < y_max 
,,1000000, 2.5e-9, 0.125899544,0.1,51
45.80%,585,,,,
45.90%,547,,,,
46%,540,,,,
46.10%,556,,,,
46.20%,522,,,,
46.30%,560,,,,
46.40%,557,,,,
46.50%,561,,,,
46.60%,603,,,,
46.70%,553,,,,
46.80%,526,,,,
46.90%,517,,,,
47%,511,,,,
47.10%,522,,,,
47.20%,516,,,,
47.30%,532,,,,
47.40%,512,,,,
47.50%,523,,,,
47.60%,463,,,,
47.70%,484,,,,
47.80%,505,,,,
47.90%,526,,,,
48%,513,,,,
48.10%,519,,,,
48.20%,486,,,,
48.30%,449,,,,
48.40%,478,,,,
48.50%,474,,,,
48.60%,510,,,,
48.70%,485,,,,
48.80%,448,,,,
48.90%,473,,,,
49%,445,,,,
49.10%,478,,,,
49.20%,463,,,,
49.30%,468,,,,
49.40%,449,,,,
49.50%,451,,,,
49.60%,476,,,,
49.70%,461,,,,
49.80%,428,,,,
49.90%,422,,,,
50%,437,,,,
50.10%,406,,,,
50.20%,415,,,,
50.30%,413,,,,
50.40%,415,,,,
50.50%,442,,,,
50.60%,387,,,,
50.70%,450,,,,
50.80%,437,,,,
50.90%,400,,,,
51%,384,,,,
51.10%,404,,,,
51.20%,382,,,,
51.30%,418,,,,
51.40%,365,,,,
51.50%,380,,,,
51.60%,390,,,,
51.70%,398,,,,
51.80%,366,,,,
51.90%,384,,,,
52%,387,,,,
52.10%,376,,,,
52.20%,378,,,,
52.30%,329,,,,
52.40%,371,,,,
52.50%,353,,,,
52.60%,380,,,,
52.70%,345,,,,
52.80%,360,,,,
52.90%,347,,,,
53%,349,,,,
53.10%,340,,,,
53.20%,332,,,,
53.30%,337,,,,
53.40%,361,,,,
53.50%,300,,,,
53.60%,327,,,,
53.70%,355,,,,
53.80%,297,,,,
53.90%,343,,,,
54%,366,,,,
54.10%,297,,,,
54.20%,323,,,,
54.30%,304,,,,
54.40%,312,,,,
54.50%,340,,,,
54.60%,308,,,,
54.70%,308,,,,
54.80%,301,,,,
54.90%,295,,,,
55%,294,,,,
55.10%,312,,,,
55.20%,310,,,,
55.30%,288,,,,
55.40%,302,,,,
55.50%,263,,,,
55.60%,264,,,,
55.70%,285,,,,
55.80%,287,,,,
55.90%,266,,,,
56%,285,,,,
56.10%,277,,,,
56.20%,253,,,,
56.30%,286,,,,
56.40%,262,,,,
56.50%,241,,,,
56.60%,244,,,,
56.70%,249,,,,
56.80%,242,,,,
56.90%,242,,,,
57%,253,,,,
57.10%,217,,,,
57.20%,247,,,,
57.30%,239,,,,
57.40%,243,,,,
57.50%,241,,,,
57.60%,258,,,,
57.70%,221,,,,
57.80%,244,,,,
57.90%,193,,,,
58%,204,,,,
58.10%,237,,,,
58.20%,226,,,,
58.30%,225,,,,
58.40%,235,,,,
58.50%,236,,,,
58.60%,221,,,,
58.70%,218,,,,
58.80%,194,,,,
58.90%,209,,,,
59%,228,,,,
59.10%,213,,,,
59.20%,200,,,,
59.30%,224,,,,
59.40%,192,,,,
59.50%,211,,,,
59.60%,183,,,,
59.70%,194,,,,
59.80%,185,,,,
59.90%,189,,,,
60%,189,,,,
60.10%,193,,,,
60.20%,186,,,,
60.30%,219,,,,
60.40%,215,,,,
60.50%,174,,,,
60.60%,173,,,,
60.70%,167,,,,
60.80%,160,,,,
60.90%,187,,,,
61%,173,,,,
61.10%,176,,,,
61.20%,172,,,,
61.30%,179,,,,
61.40%,198,,,,
61.50%,187,,,,
61.60%,162,,,,
61.70%,165,,,,
61.80%,180,,,,
61.90%,164,,,,
62%,179,,,,
62.10%,169,,,,
62.20%,166,,,,
62.30%,153,,,,
62.40%,166,,,,
62.50%,136,,,,
62.60%,159,,,,
62.70%,135,,,,
62.80%,165,,,,
62.90%,150,,,,
63%,131,,,,
63.10%,145,,,,
63.20%,124,,,,
63.30%,176,,,,
63.40%,140,,,,
63.50%,140,,,,
63.60%,135,,,,
63.70%,140,,,,
63.80%,146,,,,
63.90%,135,,,,
64%,142,,,,
64.10%,156,,,,
64.20%,124,,,,
64.30%,126,,,,
64.40%,116,,,,
64.50%,138,,,,
64.60%,125,,,,
64.70%,132,,,,
64.80%,125,,,,
64.90%,115,,,,
65%,142,,,,
65.10%,108,,,,
65.20%,127,,,,
65.30%,126,,,,
65.40%,87,,,,
