"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0.985,-0.251468889444
0.99,-0.255651704872
0.995,-0.247532121983
1,-0.255651704872
1.005,-0.259588472334
1.01,-0.259588472334
1.015,-0.255651704872
1.02,-0.259588472334
1.025,-0.267708055224
1.03,-0.263771287762
1.035,-0.263771287762
1.04,-0.263771287762
1.045,-0.263771287762
1.05,-0.267708055224
1.055,-0.267708055224
1.06,-0.271890870652
1.065,-0.275827638114
1.07,-0.271890870652
1.075,-0.267708055224
1.08,-0.271890870652
1.085,-0.271890870652
1.09,-0.267708055224
1.095,-0.263771287762
1.1,-0.259588472334
1.105,-0.267708055224
1.11,-0.263771287762
1.115,-0.263771287762
1.12,-0.263771287762
1.125,-0.259588472334
1.13,-0.259588472334
1.135,-0.259588472334
1.14,-0.259588472334
1.145,-0.259588472334
1.15,-0.263771287762
1.155,-0.263771287762
1.16,-0.263771287762
1.165,-0.259588472334
1.17,-0.267708055224
1.175,-0.267708055224
1.18,-0.267708055224
1.185,-0.267708055224
1.19,-0.267708055224
1.195,-0.267708055224
1.2,-0.267708055224
1.205,-0.267708055224
1.21,-0.267708055224
1.215,-0.267708055224
1.22,-0.267708055224
1.225,-0.267708055224
1.23,-0.263771287762
1.235,-0.267708055224
1.24,-0.267708055224
1.245,-0.271890870652
1.25,-0.271890870652
1.255,-0.271890870652
1.26,-0.271890870652
1.265,-0.275827638114
1.27,-0.275827638114
1.275,-0.275827638114
1.28,-0.280010453542
1.285,-0.280010453542
1.29,-0.280010453542
1.295,-0.275827638114
1.3,-0.280010453542
1.305,-0.280010453542
1.31,-0.280010453542
1.315,-0.275827638114
1.32,-0.280010453542
1.325,-0.283947221003
1.33,-0.283947221003
1.335,-0.280010453542
1.34,-0.288130036432
1.345,-0.283947221003
1.35,-0.288130036432
1.355,-0.283947221003
1.36,-0.288130036432
1.365,-0.292066803893
1.37,-0.292066803893
1.375,-0.292066803893
1.38,-0.288130036432
1.385,-0.292066803893
1.39,-0.292066803893
1.395,-0.288130036432
1.4,-0.292066803893
1.405,-0.292066803893
1.41,-0.292066803893
1.415,-0.296249619321
1.42,-0.296249619321
1.425,-0.296249619321
1.43,-0.296249619321
1.435,-0.296249619321
1.44,-0.296249619321
1.445,-0.296249619321
1.45,-0.300432434749
1.455,-0.300432434749
1.46,-0.300432434749
1.465,-0.304369202211
1.47,-0.300432434749
1.475,-0.300432434749
1.48,-0.304369202211
1.485,-0.308552017639
1.49,-0.304369202211
1.495,-0.308552017639
1.5,-0.308552017639
1.505,-0.312488785101
1.51,-0.304369202211
1.515,-0.312488785101
1.52,-0.308552017639
1.525,-0.316671600529
1.53,-0.312488785101
1.535,-0.316671600529
1.54,-0.312488785101
1.545,-0.320608367991
1.55,-0.320608367991
1.555,-0.320608367991
1.56,-0.320608367991
1.565,-0.320608367991
1.57,-0.320608367991
1.575,-0.320608367991
1.58,-0.320608367991
1.585,-0.320608367991
1.59,-0.320608367991
1.595,-0.320608367991
1.6,-0.324791183419
1.605,-0.320608367991
1.61,-0.324791183419
1.615,-0.320608367991
1.62,-0.320608367991
1.625,-0.320608367991
1.63,-0.320608367991
1.635,-0.320608367991
1.64,-0.320608367991
1.645,-0.316671600529
1.65,-0.316671600529
1.655,-0.312488785101
1.66,-0.312488785101
1.665,-0.312488785101
1.67,-0.312488785101
1.675,-0.312488785101
1.68,-0.312488785101
1.685,-0.312488785101
1.69,-0.312488785101
1.695,-0.308552017639
1.7,-0.308552017639
1.705,-0.308552017639
1.71,-0.308552017639
1.715,-0.304369202211
1.72,-0.308552017639
1.725,-0.304369202211
1.73,-0.304369202211
1.735,-0.308552017639
1.74,-0.304369202211
1.745,-0.304369202211
1.75,-0.304369202211
1.755,-0.300432434749
1.76,-0.304369202211
1.765,-0.304369202211
1.77,-0.304369202211
1.775,-0.296249619321
1.78,-0.296249619321
1.785,-0.300432434749
1.79,-0.296249619321
1.795,-0.296249619321
1.8,-0.292066803893
1.805,-0.296249619321
1.81,-0.292066803893
1.815,-0.292066803893
1.82,-0.292066803893
1.825,-0.292066803893
1.83,-0.288130036432
1.835,-0.288130036432
1.84,-0.283947221003
1.845,-0.288130036432
1.85,-0.283947221003
1.855,-0.283947221003
1.86,-0.275827638114
1.865,-0.280010453542
1.87,-0.275827638114
1.875,-0.271890870652
1.88,-0.275827638114
1.885,-0.271890870652
1.89,-0.271890870652
1.895,-0.267708055224
1.9,-0.267708055224
1.905,-0.267708055224
1.91,-0.263771287762
1.915,-0.263771287762
1.92,-0.263771287762
