t,x,y
1.020000e1,-3.434112e2,-1.719257e1
1.024000e1,-3.447304e2,-2.013393e0
1.028000e1,-3.448801e2,1.429294e1
1.032000e1,-3.458833e2,2.981874e1
1.036000e1,-3.444709e2,4.411837e1
1.040000e1,-3.420689e2,6.206973e1
1.044000e1,-3.411737e2,7.864860e1
1.048000e1,-3.385233e2,9.264487e1
1.052000e1,-3.357483e2,1.084305e2
1.056000e1,-3.306920e2,1.234755e2
1.060000e1,-3.279185e2,1.385565e2
1.064000e1,-3.213957e2,1.545815e2
1.068000e1,-3.166540e2,1.694933e2
1.072000e1,-3.072106e2,1.764278e2
1.076000e1,-2.993750e2,1.903458e2
1.080000e1,-2.911220e2,2.037232e2
1.084000e1,-2.825745e2,2.171398e2
1.088000e1,-2.737947e2,2.301293e2
1.092000e1,-2.629556e2,2.427434e2
1.096000e1,-2.521556e2,2.526459e2
1.100000e1,-2.405476e2,2.655086e2
1.104000e1,-2.296583e2,2.756765e2
1.108000e1,-2.172977e2,2.834205e2
1.112000e1,-2.055531e2,2.949208e2
1.116000e1,-1.923124e2,3.019937e2
1.120000e1,-1.798803e2,3.118784e2
1.124000e1,-1.672379e2,3.174987e2
1.128000e1,-1.542275e2,3.250308e2
1.132000e1,-1.402134e2,3.312398e2
1.136000e1,-1.251361e2,3.365824e2
1.140000e1,-1.114786e2,3.418958e2
1.144000e1,-9.684398e1,3.466993e2
1.148000e1,-8.163842e1,3.523754e2
1.152000e1,-6.711176e1,3.557656e2
1.156000e1,-5.110985e1,3.588018e2
1.160000e1,-3.720301e1,3.608085e2
1.164000e1,-2.107230e1,3.623826e2
1.168000e1,-6.227177e0,3.641122e2
1.172000e1,8.583637e0,3.639469e2
1.176000e1,2.440704e1,3.638196e2
1.180000e1,3.962727e1,3.625125e2
1.184000e1,5.569974e1,3.609213e2
1.188000e1,7.164658e1,3.594507e2
1.192000e1,8.698997e1,3.564595e2
1.196000e1,1.013600e2,3.524725e2
1.200000e1,1.169261e2,3.483698e2
1.204000e1,1.314981e2,3.429740e2
1.208000e1,1.470749e2,3.379749e2
1.212000e1,1.598876e2,3.307469e2
1.216000e1,1.750600e2,3.239125e2
1.220000e1,1.892970e2,3.159676e2
1.224000e1,2.029291e2,3.077881e2
1.228000e1,2.165510e2,3.000415e2
1.232000e1,2.287703e2,2.890193e2
1.236000e1,2.421611e2,2.784997e2
1.240000e1,2.537383e2,2.652339e2
1.244000e1,2.648722e2,2.527273e2
1.248000e1,2.756594e2,2.395870e2
1.252000e1,2.862620e2,2.261774e2
1.256000e1,2.965951e2,2.121180e2
1.260000e1,3.055703e2,1.991025e2
1.264000e1,3.142302e2,1.861223e2
1.268000e1,3.223399e2,1.724864e2
1.272000e1,3.296189e2,1.586953e2
1.276000e1,3.356482e2,1.439188e2
1.280000e1,3.409453e2,1.285549e2
1.284000e1,3.451489e2,1.133015e2
1.288000e1,3.487181e2,9.776869e1
1.292000e1,3.527521e2,8.101593e1
1.296000e1,3.563465e2,6.475107e1
1.300000e1,3.580660e2,4.813103e1
1.304000e1,3.589736e2,3.218732e1
1.308000e1,3.593337e2,1.580971e1
1.312000e1,3.597633e2,-1.651349e-1
1.316000e1,3.600264e2,-1.572792e1
1.320000e1,3.585253e2,-3.151819e1
1.324000e1,3.562221e2,-4.729254e1
1.328000e1,3.540152e2,-6.273105e1
1.332000e1,3.504225e2,-7.746763e1
1.336000e1,3.478328e2,-9.194441e1
1.340000e1,3.419833e2,-1.065901e2
1.344000e1,3.368710e2,-1.218907e2
1.348000e1,3.302630e2,-1.367374e2
1.352000e1,3.240787e2,-1.502479e2
1.356000e1,3.157507e2,-1.641609e2
1.360000e1,3.076747e2,-1.783790e2
1.364000e1,2.980579e2,-1.923350e2
1.368000e1,2.883369e2,-2.046640e2
1.372000e1,2.788564e2,-2.171695e2
1.376000e1,2.678364e2,-2.291321e2
1.380000e1,2.575388e2,-2.394386e2
1.384000e1,2.464673e2,-2.497470e2
1.388000e1,2.347104e2,-2.594306e2
1.392000e1,2.225900e2,-2.693236e2
1.396000e1,2.102209e2,-2.790989e2
1.400000e1,1.959984e2,-2.887358e2
1.404000e1,1.825604e2,-2.964477e2
1.408000e1,1.688643e2,-3.040889e2
1.412000e1,1.546123e2,-3.097601e2
1.416000e1,1.399920e2,-3.155062e2
1.420000e1,1.245690e2,-3.218311e2
1.424000e1,1.097777e2,-3.267430e2
1.428000e1,9.513013e1,-3.304804e2
1.432000e1,8.035814e1,-3.335904e2
1.436000e1,6.567194e1,-3.352213e2
1.440000e1,5.069435e1,-3.370800e2
1.444000e1,3.452083e1,-3.387019e2
1.448000e1,1.952143e1,-3.389583e2
1.452000e1,3.832612e0,-3.397397e2
1.456000e1,-1.212403e1,-3.385863e2
1.460000e1,-2.767683e1,-3.379726e2
1.464000e1,-4.200289e1,-3.358387e2
1.468000e1,-5.778726e1,-3.329875e2
1.472000e1,-7.149648e1,-3.303216e2
1.476000e1,-8.729693e1,-3.266508e2
1.480000e1,-1.022069e2,-3.225890e2
1.484000e1,-1.166973e2,-3.167159e2
