Sample (50 kS/s),   mV
01287,           -504.00
01288,            184.00
01289,            368.00
01290,           -456.00
01291,            -48.00
01292,            472.00
01293,           -272.00
01294,           -296.00
01295,            480.00
01296,            -32.00
01297,           -440.00
01298,            328.00
01299,            224.00
01300,           -512.00
01301,            128.00
01302,            400.00
01303,           -408.00
01304,           -120.00
01305,            496.00
01306,           -216.00
01307,           -336.00
01308,            448.00
01309,             40.00
01310,           -464.00
01311,            288.00
01312,            280.00
01313,           -504.00
01314,             72.00
01315,            432.00
01316,           -376.00
01317,           -176.00
01318,            504.00
01319,           -152.00
01320,           -376.00
01321,            408.00
01322,            104.00
01323,           -504.00
01324,            232.00
01325,            320.00
01326,           -472.00
01327,              8.00
01328,            464.00
01329,           -312.00
01330,           -248.00
01331,            496.00
01332,            -96.00
01333,           -408.00
01334,            368.00
01335,            168.00
01336,           -504.00
01337,            176.00
01338,            344.00
01339,           -440.00
01340,            -72.00
01341,            488.00
01342,           -272.00
01343,           -280.00
01344,            464.00
01345,            -32.00
01346,           -448.00
01347,            328.00
01348,            224.00
01349,           -504.00
01350,            128.00
01351,            392.00
01352,           -400.00
01353,           -128.00
01354,            496.00
01355,           -216.00
01356,           -312.00
01357,            432.00
01358,             40.00
01359,           -472.00
01360,            280.00
01361,            264.00
01362,           -480.00
01363,             64.00
01364,            432.00
01365,           -360.00
01366,           -184.00
01367,            488.00
01368,           -152.00
01369,           -368.00
01370,            400.00
01371,            104.00
01372,           -504.00
01373,            232.00
01374,            304.00
01375,           -464.00
01376,            -16.00
01377,            464.00
01378,           -312.00
01379,           -232.00
01380,            480.00
01381,            -96.00
01382,           -400.00
01383,            368.00
01384,            168.00
01385,           -496.00
01386,            176.00
01387,            344.00
01388,           -432.00
01389,            -80.00
01390,            472.00
01391,           -272.00
01392,           -272.00
01393,            456.00
01394,            -24.00
01395,           -448.00
01396,            328.00
01397,            208.00
01398,           -480.00
01399,            112.00
01400,            392.00
01401,           -400.00
01402,           -128.00
01403,            488.00
01404,           -216.00
01405,           -312.00
01406,            432.00
01407,             48.00
01408,           -464.00
01409,            280.00
01410,            248.00
01411,           -472.00
01412,             48.00
01413,            432.00
01414,           -368.00
01415,           -176.00
01416,            480.00
01417,           -152.00
01418,           -360.00
01419,            400.00
01420,            112.00
01421,           -472.00
01422,            232.00
01423,            304.00
01424,           -456.00
01425,            -16.00
01426,            456.00
01427,           -320.00
01428,           -224.00
01429,            464.00
01430,            -80.00
01431,           -408.00
01432,            368.00
01433,            144.00
01434,           -480.00
01435,            168.00
01436,            352.00
01437,           -424.00
01438,            -72.00
01439,            464.00
01440,           -272.00
01441,           -272.00
01442,            456.00
01443,            -24.00
01444,           -432.00
01445,            328.00
01446,            200.00
01447,           -472.00
01448,             96.00
01449,            392.00
01450,           -400.00
01451,           -120.00
01452,            472.00
01453,           -208.00
01454,           -320.00
01455,            424.00
01456,             40.00
01457,           -456.00
01458,            272.00
01459,            256.00
01460,           -464.00
01461,             48.00
01462,            424.00
01463,           -360.00
01464,           -176.00
01465,            472.00
01466,           -136.00
01467,           -360.00
01468,            408.00
01469,             96.00
01470,           -464.00
01471,            208.00
01472,            304.00
01473,           -448.00
01474,             -8.00
01475,            456.00
01476,           -312.00
01477,           -216.00
01478,            456.00
01479,            -88.00
01480,           -400.00
01481,            368.00
01482,            144.00
01483,           -464.00
01484,            160.00
01485,            352.00
01486,           -432.00
01487,            -56.00
01488,            456.00
01489,           -256.00
01490,           -272.00
01491,            448.00
01492,            -16.00
01493,           -424.00
01494,            328.00
01495,            200.00
01496,           -464.00
01497,            104.00
01498,            392.00
01499,           -400.00
01500,           -120.00
01501,            464.00
01502,           -192.00
01503,           -336.00
01504,            432.00
01505,             32.00
01506,           -448.00
01507,            264.00
01508,            256.00
01509,           -464.00
01510,             40.00
01511,            416.00
01512,           -360.00
01513,           -176.00
01514,            456.00
01515,           -144.00
01516,           -368.00
01517,            400.00
01518,             88.00
01519,           -448.00
01520,            216.00
01521,            304.00
01522,           -448.00
01523,             -8.00
01524,            432.00
01525,           -304.00
01526,           -224.00
01527,            456.00
01528,            -80.00
01529,           -400.00
01530,            352.00
01531,            144.00
01532,           -464.00
01533,            160.00
01534,            344.00
01535,           -424.00
01536,            -64.00
01537,            440.00
01538,           -248.00
01539,           -280.00
01540,            456.00
01541,            -24.00
01542,           -416.00
01543,            312.00
01544,            208.00
01545,           -464.00
01546,             96.00
01547,            384.00
01548,           -384.00
01549,           -120.00
01550,            456.00
01551,           -192.00
01552,           -328.00
01553,            424.00
01554,             32.00
01555,           -432.00
01556,            264.00
01557,            256.00
01558,           -464.00
01559,             48.00
01560,            400.00
01561,           -352.00
01562,           -176.00
01563,            464.00
01564,           -144.00
01565,           -360.00
01566,            384.00
01567,             88.00
01568,           -448.00
01569,            208.00
01570,            304.00
01571,           -440.00
01572,             -8.00
01573,            416.00
01574,           -304.00
01575,           -232.00
01576,            456.00
01577,            -88.00
01578,           -384.00
01579,            352.00
01580,            144.00
01581,           -464.00
01582,            152.00
01583,            328.00
01584,           -416.00
01585,            -72.00
01586,            440.00
01587,           -248.00
01588,           -280.00
01589,            440.00
01590,            -32.00
01591,           -408.00
01592,            304.00
01593,            208.00
01594,           -456.00
01595,            112.00
01596,            368.00
01597,           -376.00
01598,           -120.00
01599,            456.00
01600,           -192.00
01601,           -312.00
01602,            416.00
01603,             24.00
01604,           -432.00
01605,            264.00
01606,            256.00
01607,           -448.00
01608,             48.00
01609,            392.00
01610,           -336.00
01611,           -184.00
01612,            456.00
01613,           -144.00
01614,           -344.00
01615,            392.00
01616,             96.00
01617,           -440.00
01618,            216.00
01619,            296.00
01620,           -432.00
01621,             -8.00
01622,            416.00
01623,           -296.00
01624,           -232.00
01625,            448.00
01626,            -96.00
01627,           -376.00
01628,            336.00
01629,            152.00
01630,           -448.00
01631,            168.00
01632,            328.00
01633,           -400.00
01634,            -80.00
01635,            432.00
01636,           -248.00
01637,           -272.00
01638,            432.00
01639,            -32.00
01640,           -400.00
01641,            304.00
01642,            208.00
01643,           -448.00
01644,            112.00
01645,            368.00
01646,           -360.00
01647,           -120.00
01648,            448.00
01649,           -192.00
01650,           -304.00
01651,            408.00
01652,             40.00
01653,           -424.00
01654,            264.00
01655,            248.00
01656,           -440.00
01657,             48.00
01658,            392.00
01659,           -328.00
01660,           -176.00
01661,            456.00
01662,           -136.00
01663,           -336.00
01664,            384.00
01665,             96.00
01666,           -440.00
01667,            216.00
01668,            288.00
01669,           -416.00
01670,            -16.00
01671,            416.00
01672,           -296.00
01673,           -216.00
01674,            440.00
01675,            -80.00
01676,           -368.00
01677,            344.00
01678,            152.00
01679,           -448.00
01680,            168.00
01681,            328.00
01682,           -384.00
01683,            -64.00
01684,            440.00
01685,           -248.00
01686,           -264.00
01687,            424.00
01688,            -24.00
01689,           -400.00
01690,            312.00
01691,            200.00
01692,           -440.00
01693,            112.00
01694,            360.00
01695,           -368.00
01696,           -120.00
01697,            448.00
01698,           -200.00
01699,           -296.00
01700,            400.00
01701,             32.00
01702,           -424.00
01703,            264.00
01704,            240.00
01705,           -424.00
01706,             48.00
01707,            400.00
01708,           -336.00
01709,           -176.00
01710,            440.00
01711,           -136.00
01712,           -336.00
01713,            376.00
01714,             88.00
01715,           -440.00
01716,            208.00
01717,            280.00
01718,           -408.00
01719,            -16.00
01720,            416.00
01721,           -288.00
01722,           -216.00
01723,            424.00
01724,            -80.00
01725,           -376.00
01726,            352.00
01727,            136.00
01728,           -424.00
01729,            152.00
01730,            320.00
01731,           -392.00
01732,            -72.00
01733,            432.00
01734,           -248.00
01735,           -248.00
01736,            424.00
01737,            -16.00
01738,           -392.00
01739,            304.00
01740,            200.00
01741,           -432.00
01742,            104.00
01743,            368.00
01744,           -368.00
01745,           -120.00
01746,            432.00
01747,           -192.00
01748,           -288.00
01749,            400.00
01750,             40.00
01751,           -416.00
01752,            264.00
01753,            232.00
01754,           -424.00
01755,             40.00
01756,            392.00
01757,           -336.00
01758,           -160.00
01759,            432.00
01760,           -136.00
01761,           -344.00
01762,            376.00
01763,             88.00
01764,           -416.00
01765,            208.00
01766,            280.00
01767,           -408.00
01768,            -16.00
01769,            408.00
01770,           -280.00
01771,           -208.00
01772,            424.00
01773,            -72.00
01774,           -368.00
01775,            344.00
01776,            128.00
01777,           -440.00
01778,            160.00
01779,            328.00
01780,           -392.00
01781,            -56.00
01782,            424.00
01783,           -248.00
01784,           -264.00
01785,            416.00
01786,            -16.00
01787,           -392.00
01788,            304.00
01789,            176.00
01790,           -432.00
01791,             96.00
01792,            352.00
01793,           -360.00
01794,           -112.00
01795,            424.00
01796,           -192.00
01797,           -304.00
01798,            392.00
01799,             24.00
01800,           -416.00
01801,            264.00
01802,            240.00
01803,           -424.00
01804,             48.00
01805,            384.00
01806,           -336.00
01807,           -160.00
01808,            424.00
01809,           -128.00
01810,           -344.00
01811,            376.00
01812,             80.00
01813,           -416.00
01814,            208.00
01815,            272.00
01816,           -408.00
01817,             -8.00
01818,            392.00
01819,           -288.00
01820,           -216.00
01821,            416.00
01822,            -80.00
01823,           -368.00
01824,            336.00
01825,            136.00
01826,           -424.00
01827,            144.00
01828,            312.00
01829,           -392.00
01830,            -56.00
01831,            408.00
01832,           -232.00
01833,           -256.00
01834,            416.00
01835,            -32.00
01836,           -392.00
01837,            296.00
01838,            176.00
01839,           -416.00
01840,            104.00
01841,            360.00
01842,           -368.00
01843,           -120.00
01844,            416.00
01845,           -184.00
01846,           -296.00
01847,            392.00
01848,             32.00
01849,           -408.00
01850,            248.00
01851,            232.00
01852,           -432.00
01853,             48.00
01854,            368.00
01855,           -328.00
01856,           -168.00
01857,            416.00
01858,           -144.00
01859,           -336.00
01860,            368.00
01861,             80.00
01862,           -408.00
01863,            192.00
01864,            272.00
01865,           -408.00
01866,              0.00
01867,            392.00
01868,           -272.00
01869,           -216.00
01870,            424.00
01871,            -80.00
01872,           -360.00
01873,            336.00
01874,            136.00
01875,           -416.00
01876,            152.00
01877,            312.00
01878,           -376.00
01879,            -56.00
01880,            392.00
01881,           -240.00
01882,           -248.00
01883,            400.00
01884,            -32.00
01885,           -376.00
01886,            288.00
01887,            184.00
01888,           -416.00
01889,            104.00
01890,            344.00
01891,           -344.00
01892,           -112.00
01893,            416.00
01894,           -184.00
01895,           -288.00
01896,            384.00
01897,             32.00
01898,           -392.00
01899,            248.00
01900,            232.00
01901,           -416.00
01902,             48.00
01903,            360.00
01904,           -312.00
01905,           -168.00
01906,            416.00
01907,           -136.00
01908,           -328.00
01909,            352.00
01910,             80.00
01911,           -408.00
01912,            208.00
01913,            264.00
01914,           -392.00
01915,              0.00
01916,            384.00
01917,           -272.00
01918,           -216.00
01919,            408.00
01920,            -88.00
01921,           -344.00
01922,            320.00
01923,            128.00
01924,           -416.00
01925,            160.00
01926,            304.00
01927,           -376.00
01928,            -64.00
01929,            400.00
01930,           -232.00
01931,           -256.00
01932,            392.00
01933,            -40.00
01934,           -376.00
01935,            288.00
01936,            176.00
01937,           -416.00
01938,            112.00
01939,            328.00
01940,           -344.00
01941,           -112.00
01942,            408.00
01943,           -184.00
01944,           -280.00
01945,            376.00
01946,             32.00
01947,           -392.00
01948,            248.00
01949,            232.00
01950,           -400.00
01951,             48.00
01952,            352.00
01953,           -312.00
01954,           -168.00
01955,            408.00
01956,           -136.00
01957,           -312.00
01958,            344.00
01959,             80.00
01960,           -408.00
01961,            200.00
01962,            264.00
01963,           -384.00
01964,              8.00
01965,            384.00
01966,           -272.00
01967,           -208.00
01968,            400.00
01969,            -88.00
01970,           -344.00
01971,            320.00
01972,            128.00
01973,           -408.00
01974,            160.00
01975,            296.00
01976,           -368.00
01977,            -56.00
01978,            392.00
01979,           -232.00
01980,           -248.00
01981,            392.00
01982,            -24.00
01983,           -376.00
01984,            288.00
01985,            176.00
01986,           -408.00
01987,            112.00
01988,            328.00
01989,           -336.00
01990,           -112.00
01991,            400.00
01992,           -184.00
01993,           -272.00
01994,            376.00
01995,             32.00
01996,           -384.00
01997,            240.00
01998,            208.00
01999,           -400.00
02000,             48.00
02001,            352.00
02002,           -304.00
02003,           -160.00
02004,            400.00
02005,           -144.00
02006,           -312.00
02007,            344.00
02008,             80.00
02009,           -400.00
02010,            208.00
02011,            256.00
02012,           -376.00
02013,              0.00
02014,            376.00
02015,           -280.00
02016,           -200.00
02017,            392.00
02018,            -80.00
02019,           -352.00
02020,            320.00
02021,            120.00
02022,           -408.00
02023,            152.00
02024,            288.00
02025,           -360.00
02026,            -56.00
02027,            392.00
02028,           -240.00
02029,           -240.00
02030,            384.00
02031,            -24.00
02032,           -376.00
02033,            280.00
02034,            176.00
02035,           -400.00
02036,            104.00
02037,            328.00
02038,           -336.00
02039,           -104.00
02040,            400.00
02041,           -184.00
02042,           -280.00
02043,            368.00
02044,             16.00
02045,           -384.00
