Unit:(mV)
                     CH1         CH2
Frequency              ?           ?
00363             -88.00    -1800.00
00364            -116.00    -1840.00
00365            -136.00    -1840.00
00366            -136.00    -1800.00
00367            -132.00    -1720.00
00368            -128.00    -1560.00
00369            -132.00    -1280.00
00370            -132.00    -1000.00
00371            -128.00     -600.00
00372            -124.00     -280.00
00373            -128.00     -320.00
00374            -128.00     -320.00
00375            -132.00     -320.00
00376            -116.00     -320.00
00377             -92.00     -280.00
00378             -68.00     -320.00
00379             -36.00     -280.00
00380             -32.00     -280.00
00381             -32.00     -280.00
00382             -28.00     -280.00
00383             -32.00     -240.00
00384             -32.00     -280.00
00385             -36.00     -240.00
00386             -32.00     -240.00
00387             -32.00     -240.00
00388             -28.00     -320.00
00389             -36.00     -600.00
00390             -76.00    -1000.00
00391             -96.00    -1240.00
00392            -120.00    -1520.00
00393            -128.00    -1680.00
00394            -132.00    -1680.00
00395            -132.00    -1680.00
00396            -132.00    -1680.00
00397            -128.00    -1680.00
00398            -132.00    -1680.00
00399            -132.00    -1720.00
00400            -128.00    -1680.00
00401            -132.00    -1720.00
00402            -128.00    -1680.00
00403            -124.00    -1680.00
00404            -104.00    -1720.00
00405             -80.00    -1720.00
00406             -52.00    -1720.00
00407             -32.00    -1720.00
00408             -32.00    -1720.00
00409             -36.00    -1720.00
00410             -36.00    -1680.00
00411             -32.00    -1520.00
00412             -32.00    -1280.00
00413             -32.00     -960.00
00414             -36.00     -680.00
00415             -36.00     -400.00
00416             -36.00     -360.00
00417             -68.00     -320.00
00418             -96.00     -280.00
00419            -124.00     -280.00
00420            -136.00     -320.00
00421            -132.00     -280.00
00422            -128.00     -280.00
00423            -132.00     -280.00
00424            -136.00     -320.00
00425            -136.00     -280.00
00426            -140.00     -280.00
00427            -136.00     -240.00
00428            -132.00     -240.00
00429            -132.00     -240.00
00430            -132.00     -240.00
00431            -112.00     -240.00
00432             -88.00     -440.00
00433             -60.00     -760.00
00434             -36.00    -1160.00
00435             -36.00    -1440.00
00436             -36.00    -1680.00
00437             -32.00    -1760.00
00438             -32.00    -1760.00
00439             -36.00    -1760.00
00440             -36.00    -1760.00
00441             -28.00    -1720.00
00442             -28.00    -1800.00
00443             -28.00    -1760.00
00444             -48.00    -1800.00
00445             -80.00    -1840.00
00446            -104.00    -1840.00
00447            -128.00    -1840.00
00448            -132.00    -1840.00
00449            -132.00    -1880.00
00450            -132.00    -1840.00
00451            -128.00    -1880.00
00452            -132.00    -1880.00
00453            -132.00    -1840.00
00454            -128.00    -1880.00
00455            -132.00    -1800.00
00456            -128.00    -1520.00
00457            -128.00    -1240.00
00458            -116.00     -880.00
00459            -100.00     -520.00
00460             -76.00     -400.00
00461             -48.00     -400.00
00462             -32.00     -400.00
00463             -36.00     -360.00
00464             -32.00     -400.00
00465             -32.00     -400.00
00466             -28.00     -360.00
00467             -32.00     -320.00
00468             -32.00     -320.00
00469             -32.00     -400.00
00470             -36.00     -360.00
00471             -36.00     -320.00
00472             -64.00     -280.00
00473             -92.00     -320.00
00474            -124.00     -360.00
00475            -144.00     -360.00
00476            -144.00     -320.00
00477            -144.00     -560.00
00478            -132.00     -920.00
00479            -132.00    -1320.00
00480            -132.00    -1600.00
00481            -132.00    -1840.00
00482            -136.00    -1880.00
00483            -132.00    -1880.00
00484            -136.00    -1880.00
00485            -132.00    -1920.00
00486            -120.00    -1920.00
00487             -96.00    -1920.00
00488             -72.00    -1920.00
00489             -48.00    -1960.00
00490             -32.00    -1960.00
00491             -28.00    -1880.00
00492             -24.00    -1960.00
00493             -28.00    -2000.00
00494             -32.00    -1960.00
00495             -32.00    -2000.00
00496             -32.00    -2000.00
00497             -36.00    -1960.00
00498             -32.00    -1960.00
00499             -36.00    -2000.00
00500             -52.00    -1960.00
00501             -68.00    -1760.00
00502             -84.00    -1520.00
00503             -92.00    -1080.00
00504             -96.00     -600.00
00505             -88.00     -400.00
00506             -92.00     -360.00
00507             -92.00     -320.00
00508             -84.00     -280.00
00509             -88.00     -320.00
00510             -92.00     -320.00
00511             -84.00     -280.00
00512             -84.00     -280.00
00513             -84.00     -280.00
00514             -76.00     -280.00
00515             -64.00     -280.00
00516             -52.00     -280.00
00517             -32.00     -240.00
00518             -32.00     -240.00
00519             -32.00     -240.00
00520             -32.00     -240.00
00521             -28.00     -240.00
00522             -32.00     -240.00
00523             -32.00     -440.00
00524             -32.00     -840.00
00525             -36.00    -1160.00
00526             -32.00    -1440.00
00527             -60.00    -1640.00
00528             -84.00    -1720.00
00529            -112.00    -1720.00
00530            -128.00    -1720.00
00531            -128.00    -1720.00
00532            -128.00    -1720.00
00533            -124.00    -1720.00
00534            -128.00    -1720.00
00535            -128.00    -1720.00
00536            -128.00    -1720.00
00537            -128.00    -1720.00
00538            -124.00    -1720.00
00539            -128.00    -1720.00
00540            -116.00    -1760.00
00541             -92.00    -1720.00
00542             -68.00    -1760.00
00543             -36.00    -1760.00
00544             -32.00    -1800.00
00545             -28.00    -1800.00
00546             -32.00    -1760.00
00547             -32.00    -1680.00
00548             -32.00    -1480.00
00549             -36.00    -1200.00
00550             -36.00     -920.00
00551             -32.00     -480.00
00552             -32.00     -400.00
00553             -56.00     -360.00
00554             -88.00     -400.00
00555            -116.00     -400.00
00556            -136.00     -400.00
00557            -136.00     -400.00
00558            -132.00     -360.00
00559            -132.00     -400.00
00560            -132.00     -400.00
00561            -136.00     -360.00
00562            -136.00     -320.00
00563            -132.00     -320.00
00564            -136.00     -360.00
00565            -136.00     -320.00
00566            -132.00     -280.00
00567            -108.00     -280.00
00568             -76.00     -280.00
00569             -44.00     -280.00
00570             -36.00     -480.00
00571             -32.00     -760.00
00572             -32.00    -1080.00
00573             -36.00    -1400.00
00574             -36.00    -1600.00
00575             -36.00    -1720.00
00576             -36.00    -1720.00
00577             -32.00    -1720.00
00578             -36.00    -1720.00
00579             -56.00    -1760.00
00580             -88.00    -1760.00
00581            -120.00    -1760.00
00582            -136.00    -1760.00
00583            -132.00    -1760.00
00584            -132.00    -1760.00
00585            -128.00    -1800.00
00586            -132.00    -1760.00
00587            -128.00    -1760.00
