t,x,dx,d2x,y,dy,d2y,p,V,S1,S2,F
0.004975,-0.009229966694,-1.338554225375,493.96255919943,0.000481705882,0.336631396066,167.721410178074,0.000461910073,111732.00694477528,0.008433948171224202,0.0014318430155304642,15.7911410178074
0.00498,-0.009236659465,-1.336084412579,495.271837390557,0.000483389039,0.337470003117,167.92843794943,0.000461855975,111750.32968617062,0.008443088036375923,0.0014313700864643174,15.811843794943
0.004985,-0.009243339887,-1.333608053392,496.581811153576,0.000485076389,0.338309645307,168.135013767131,0.000461801925,111768.64131487768,0.00845221920433468,0.0014308961387271947,15.8325013767131
0.00499,-0.009250007927,-1.331125144336,497.892471081488,0.000486767937,0.339150320376,168.341137032356,0.000461747924,111786.9414803067,0.008461341590079087,0.0014304211720646374,15.8531137032356
0.004995,-0.009256663553,-1.328635681981,499.203793455236,0.000488463689,0.339992026061,168.546802267894,0.000461693973,111805.22983149007,0.008470455109822876,0.0014299451859457932,15.873680226789402
0.005,-0.009263306731,-1.326139663014,500.515754278694,0.000490163649,0.340834760072,168.752004064895,0.000461640072,111823.50635620605,0.008479559676908362,0.001429468180405553,15.894200406489501
0.005005,-0.009269937429,-1.323637084243,501.828343994839,0.000491867823,0.341678520092,168.956741796736,0.000461586222,111841.77070301761,0.008488655207284314,0.0014289901549217835,15.9146741796736
0.00501,-0.009276555614,-1.321127942523,503.141538515181,0.000493576216,0.342523303801,169.161010025391,0.000461532423,111860.02285942409,0.00849774161539822,0.0014285111092573674,15.9351010025391
0.005015,-0.009283161254,-1.31861223483,504.455328149463,0.000495288833,0.343369108851,169.364808160757,0.000461478676,111878.26247352028,0.008506818816940435,0.0014280310431794697,15.955480816075701
0.00502,-0.009289754315,-1.316089958189,505.769688555138,0.000497005679,0.344215932892,169.568130768889,0.000461424981,111896.48953252775,0.008515886724723077,0.0014275499564595446,15.975813076888901
0.005025,-0.009296334765,-1.313561109746,507.084609908466,0.000498726759,0.345063773546,169.770977263286,0.000461371339,111914.70368407413,0.008524945254177373,0.0014270678488733412,15.9960977263286
0.00503,-0.009302902571,-1.311025686696,508.400067776067,0.000500452078,0.345912628432,169.973342214217,0.000461317751,111932.9045754121,0.008533994319231339,0.0014265847202009122,16.0163342214217
0.005035,-0.009309457699,-1.308483686357,509.716037527032,0.000502181641,0.346762495143,170.17522019455,0.000461264217,111951.09219320667,0.008543033832304477,0.0014261005702266192,16.036522019455003
0.00504,-0.009316000117,-1.305935106169,511.032509109011,0.000503915453,0.347613371244,170.376610623866,0.000461210738,111969.26618424572,0.008552063708444923,0.0014256153987391405,16.0566610623866
0.005045,-0.009322529793,-1.303379943623,512.349457884247,0.00050565352,0.348465254297,170.577508046013,0.000461157314,111987.42653491949,0.008561083862578239,0.0014251292052517934,16.0767508046013
