"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.292309011E1,-3.547500229E1,5.430000305E1,2.343750000E0,6.490346125E1
1.293309011E1,-3.526875305E1,5.420625305E1,2.193750143E0,6.470715070E1
1.294309011E1,-3.519375229E1,5.426250076E1,2.287500143E0,6.471670454E1
1.295309011E1,-3.502500153E1,5.431875229E1,2.231250048E0,6.467036461E1
1.296309011E1,-3.487500000E1,5.422500229E1,2.418750048E0,6.451718260E1
1.297309011E1,-3.483750153E1,5.424375153E1,2.437500000E0,6.451339007E1
1.298309011E1,-3.491250229E1,5.422500229E1,2.493750095E0,6.454031669E1
1.299309011E1,-3.510000229E1,5.407500076E1,2.475000143E0,6.451543609E1
1.300309011E1,-3.517500305E1,5.418750381E1,2.718750000E0,6.466032795E1
1.301309011E1,-3.530625153E1,5.445000076E1,2.512500048E0,6.494341103E1
1.302309011E1,-3.508125305E1,5.446875381E1,2.606250048E0,6.484082045E1
1.303309011E1,-3.526875305E1,5.452500153E1,2.475000143E0,6.498450861E1
1.304309011E1,-3.553125000E1,5.443125153E1,2.381250143E0,6.504537817E1
1.305309011E1,-3.573750305E1,5.439375305E1,2.306250095E0,6.512425266E1
1.306309011E1,-3.585000229E1,5.443125153E1,1.987500072E0,6.520685519E1
1.307309011E1,-3.579375076E1,5.445000076E1,2.062500000E0,6.519393440E1
1.308309011E1,-3.590625000E1,5.441250229E1,2.100000143E0,6.522567895E1
1.309309011E1,-3.570000076E1,5.435625076E1,2.287500143E0,6.507168899E1
1.310309011E1,-3.594375229E1,5.437500381E1,2.137500048E0,6.521628075E1
1.311309011E1,-3.583125305E1,5.416875076E1,2.306250095E0,6.498808386E1
1.312309011E1,-3.581250000E1,5.437500381E1,2.625000000E0,6.516185096E1
1.313309011E1,-3.586875153E1,5.439375305E1,2.550000191E0,6.520544615E1
1.314309011E1,-3.573750305E1,5.441250229E1,3.056250095E0,6.517077715E1
1.315309011E1,-3.566250229E1,5.454375076E1,2.793750048E0,6.522760042E1
1.316309011E1,-3.543750000E1,5.452500153E1,2.831250191E0,6.509076874E1
1.317309011E1,-3.560625076E1,5.467500305E1,2.943750143E0,6.531329663E1
1.318309011E1,-3.566250229E1,5.473125076E1,2.943750143E0,6.539105095E1
1.319309011E1,-3.564375305E1,5.482500076E1,2.850000143E0,6.545517811E1
1.320309011E1,-3.551250076E1,5.458125305E1,2.606250048E0,6.516934428E1
1.321309011E1,-3.556875229E1,5.458125305E1,2.737500191E0,6.520539266E1
1.322309011E1,-3.575625229E1,5.445000076E1,2.362500191E0,6.518353755E1
1.323309011E1,-3.586875153E1,5.405625153E1,2.568750143E0,6.492491157E1
