"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.495556055E0,1.020375061E2,3.960000229E1,-2.223750114E1,1.116884922E2
1.505556055E0,1.056187515E2,3.860625076E1,-2.325000000E1,1.148317281E2
1.515556055E0,1.089937515E2,3.770625305E1,-2.435625076E1,1.178754696E2
1.525556055E0,1.127625046E2,3.708750153E1,-2.533125114E1,1.213776647E2
1.535556055E0,1.161562576E2,3.600000000E1,-2.666250038E1,1.244956429E2
1.545556055E0,1.201312561E2,3.480000305E1,-2.782500076E1,1.281280202E2
1.555556055E0,1.241812515E2,3.361875153E1,-2.932500076E1,1.319513522E2
1.565556055E0,1.283062592E2,3.243750000E1,-3.073125076E1,1.358642606E2
1.575556055E0,1.327687531E2,3.151875114E1,-3.215625000E1,1.401962834E2
1.585556055E0,1.379250031E2,3.052500153E1,-3.380625153E1,1.452513161E2
1.595556055E0,1.433250122E2,2.921250153E1,-3.553125000E1,1.505254101E2
1.605556055E0,1.489500122E2,2.780625153E1,-3.736875153E1,1.560631838E2
1.615556055E0,1.549125061E2,2.625000191E1,-3.890625000E1,1.618661281E2
1.625556055E0,1.612312622E2,2.503125191E1,-4.080000305E1,1.681865742E2
1.635556055E0,1.676437531E2,2.368125153E1,-4.254375076E1,1.745714763E2
1.645556055E0,1.740750122E2,2.253750038E1,-4.460625076E1,1.811070579E2
1.655556055E0,1.806000061E2,2.090625000E1,-4.668750000E1,1.877049710E2
1.665556055E0,1.868812561E2,1.946250153E1,-4.863750076E1,1.940850312E2
1.675556055E0,1.934437561E2,1.830000114E1,-5.045625305E1,2.007516134E2
1.685556055E0,2.001937561E2,1.719375038E1,-5.218125153E1,2.075958768E2
1.695556055E0,2.073750153E2,1.612500000E1,-5.400000381E1,2.148962843E2
1.705556055E0,2.145000153E2,1.498125076E1,-5.542500305E1,2.220509522E2
1.715556055E0,2.216812592E2,1.421250057E1,-5.705625153E1,2.293468807E2
1.725556055E0,2.292187653E2,1.303125095E1,-5.874375153E1,2.369849873E2
1.735556055E0,2.372062531E2,1.213125038E1,-5.979375076E1,2.449270633E2
1.745556055E0,2.448937531E2,1.138125038E1,-6.033750153E1,2.524739536E2
1.755556055E0,2.529000092E2,1.065000057E1,-6.082500076E1,2.603296331E2
1.765556055E0,2.607750244E2,9.881250381E0,-6.093750381E1,2.679825215E2
1.775556055E0,2.683875122E2,9.318750381E0,-6.091875076E1,2.753720937E2
1.785556055E0,2.762437744E2,8.812500000E0,-6.075000381E1,2.829820595E2
1.795556055E0,2.843250122E2,8.025000572E0,-6.013125229E1,2.907247508E2
1.805556055E0,2.924062500E2,7.500000477E0,-5.923125076E1,2.984392838E2
