"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0.535,5.12738570308
0.54,5.91252476373
0.545,5.89628559795
0.55,5.89210278252
0.555,5.90022236541
0.56,5.91252476373
0.565,5.08654174067
0.57,3.72761882248
0.575,2.51115767681
0.58,1.59167642653
0.585,0.944816322983
0.59,0.509311422531
0.595,0.216514342566
0.6,0.0292718401688
0.605,-0.0846483682544
0.61,-0.157970662229
0.615,-0.198568576678
0.62,-0.231046908237
0.625,-0.243349306555
0.63,-0.251468889444
0.635,-0.251468889444
0.64,-0.247532121983
0.645,-0.231046908237
0.65,-0.194631809216
0.655,-0.125246282703
0.66,-0.0032064913903
0.665,0.20814871171
0.67,0.545972569518
0.675,1.07891246465
0.68,1.87635392361
0.685,3.01161924038
0.69,4.41532288845
0.695,5.73758465965
0.7,5.9083419483
0.705,5.90022236541
0.71,5.90022236541
0.715,5.90022236541
0.72,4.98492393056
0.725,3.6016422637
0.73,2.38099830261
0.735,1.485875801
0.74,0.863374446119
0.745,0.456411109764
0.75,0.187972778469
0.755,0.021152257279
0.76,-0.0888311836825
0.765,-0.153787846801
0.77,-0.190448993788
0.775,-0.218990557885
0.78,-0.239166491127
0.785,-0.247532121983
0.79,-0.243349306555
0.795,-0.235229723665
0.8,-0.198568576678
0.805,-0.129429098131
0.81,0.000730276071408
0.815,0.224633925456
0.82,0.590753299395
0.825,1.1684739244
0.83,2.04735726023
0.835,3.2842403871
0.84,4.81810340937
0.845,5.88816601506
0.85,5.89628559795
0.855,5.88398319963
0.86,5.88816601506
0.865,5.91252476373
0.87,5.15568121921
0.875,3.71556247213
0.88,2.46219413151
0.885,1.53877611377
0.89,0.908155175995
0.895,0.484952673862
0.9,0.216514342566
0.905,0.0373914230586
0.91,-0.0723459699366
0.915,-0.137548681021
0.92,-0.182329410898
0.925,-0.202751392106
0.93,-0.218990557885
0.935,-0.222927325347
0.94,-0.222927325347
0.945,-0.210870974995
0.95,-0.18626617836
0.955,-0.137548681021
0.96,-0.0521700366953
0.965,0.0984113187151
0.97,0.338554133879
0.975,0.712793090708
0.98,1.27009173451
0.985,2.09607475757
0.99,3.23134007434
0.995,4.58214340964
1,5.79048497241
1.005,5.90440518084
1.01,5.89628559795
1.015,5.89210278252
1.02,5.90440518084
1.025,5.69280392977
1.03,4.5048843482
1.035,3.27193798879
1.04,2.22623413177
1.045,1.44503183859
1.05,0.887733194788
1.055,0.49725507218
1.06,0.228570692918
1.065,0.0455110059484
1.07,-0.0684092024749
1.075,-0.153787846801
1.08,-0.202751392106
1.085,-0.235229723665
1.09,-0.251468889444
1.095,-0.267708055224
1.1,-0.275827638114
1.105,-0.280010453542
1.11,-0.280010453542
1.115,-0.283947221003
1.12,-0.283947221003
1.125,-0.271890870652
1.13,-0.251468889444
1.135,-0.218990557885
1.14,-0.16190742969
1.145,-0.0723459699366
1.15,0.0698697546177
1.155,0.277534238223
1.16,0.582633716505
1.165,1.00583621864
1.17,1.58355684365
1.175,2.34827392308
1.18,3.33295788444
1.185,4.47215996867
1.19,5.6194816358
1.195,5.91670757916
1.2,5.90022236541
1.205,5.88004643217
1.21,5.88816601506
1.215,5.89628559795
1.22,5.91252476373
1.225,5.49350507702
1.23,4.45198403543
1.235,3.45106090829
1.24,2.58841673825
1.245,1.90907830314
1.25,1.37589236004
1.255,0.964992256224
1.26,0.659892777941
1.265,0.432052361095
1.27,0.257112257015
1.275,0.122770067384
1.28,0.0250890247407
1.285,-0.0479872212672
1.29,-0.100887534034
1.295,-0.149851079339
1.3,-0.17814659547
1.305,-0.198568576678
1.31,-0.218990557885
1.315,-0.239166491127
1.32,-0.247532121983
1.325,-0.259588472334
1.33,-0.267708055224
1.335,-0.275827638114
1.34,-0.280010453542
1.345,-0.283947221003
1.35,-0.288130036432
1.355,-0.283947221003
1.36,-0.280010453542
1.365,-0.267708055224
1.37,-0.247532121983
1.375,-0.222927325347
1.38,-0.182329410898
1.385,-0.121309515242
1.39,-0.0398676383775
1.395,0.065932987156
1.4,0.220451110028
1.405,0.415813195315
1.41,0.672195176259
1.415,0.997470587783
1.42,1.41255350703
1.425,1.92925423638
1.43,2.56799475704
1.435,3.33295788444
1.44,4.20372163738
1.445,5.10278090645
1.45,5.86774403385
1.455,5.9083419483
1.46,5.89628559795
1.465,5.88004643217
1.47,5.87192684928
1.475,5.87192684928
1.48,5.87192684928
1.485,5.88004643217
1.49,5.89210278252
1.495,5.9083419483
