"Latest: Time (s)","Latest: Magnetic Field (mT)"
1.715,-0.49554847207
1.72,-0.410169827745
1.725,-0.320608367991
1.73,-0.243349306555
1.735,-0.174209828008
1.74,-0.117126699814
1.745,-0.0684092024749
1.75,-0.027811288026
1.755,0.00884985896118
1.76,0.0332086076305
1.765,0.0496938213764
1.77,0.0617501717279
1.775,0.065932987156
1.78,0.0578134042662
1.785,0.0496938213764
1.79,0.0292718401688
1.795,0.00491309149947
1.8,-0.0196917051362
1.805,-0.0684092024749
1.81,-0.117126699814
1.815,-0.166090245119
1.82,-0.235229723665
1.825,-0.308552017639
1.83,-0.389747846537
1.835,-0.475372538829
1.84,-0.568870766045
1.845,-0.654249410371
1.85,-0.747747637586
1.855,-0.833372329878
1.86,-0.910631391314
1.865,-0.98789045275
1.87,-1.04497358095
1.875,-1.09369107828
1.88,-1.12616940984
1.885,-1.14659139105
1.89,-1.15077420648
1.895,-1.13847180816
1.9,-1.11411305949
1.905,-1.07326909708
1.91,-1.02036878431
1.915,-0.951229305763
1.92,-0.873970244327
1.925,-0.784408784573
1.93,-0.699030140247
1.935,-0.601349097604
1.94,-0.51178763785
1.945,-0.422472226062
1.95,-0.341030349198
1.955,-0.263771287762
1.96,-0.198568576678
1.965,-0.141731496449
1.97,-0.0888311836825
1.975,-0.0521700366953
1.98,-0.0196917051362
1.985,0.00491309149947
1.99,0.0250890247407
1.995,0.0332086076305
2,0.0373914230586
2.005,0.0332086076305
2.01,0.0250890247407
2.015,0.000730276071408
2.02,-0.0236284725979
2.025,-0.056106804157
2.03,-0.0969507665723
2.035,-0.145668263911
2.04,-0.206688159567
2.045,-0.263771287762
2.05,-0.341030349198
2.055,-0.414352643173
2.06,-0.507850870388
2.065,-0.597412330142
2.07,-0.68672774193
2.075,-0.776289201684
2.08,-0.857731078548
2.085,-0.934990139984
2.09,-1.00019285107
2.095,-1.0570299313
2.1,-1.09369107828
2.105,-1.11411305949
2.11,-1.12616940984
2.115,-1.12223264238
2.12,-1.10181066117
2.125,-1.06933232961
2.13,-1.02455159974
2.135,-0.963531704081
2.14,-0.894392225535
2.145,-0.817133164099
2.15,-0.727571704345
2.155,-0.638010244591
2.16,-0.548448784837
2.165,-0.463070140511
2.17,-0.381628263647
2.175,-0.304369202211
2.18,-0.235229723665
2.185,-0.174209828008
2.19,-0.121309515242
2.195,-0.0807116007927
2.2,-0.0440504538055
2.205,-0.0155088897081
2.21,0.000730276071408
2.215,0.0130326743893
2.22,0.016969441851
2.225,0.016969441851
2.23,0.00491309149947
2.235,-0.0113260742801
2.24,-0.0317480554877
2.245,-0.0602896195851
2.25,-0.105070349462
2.255,-0.149851079339
2.26,-0.206688159567
2.265,-0.267708055224
2.27,-0.341030349198
2.275,-0.422472226062
2.28,-0.50366805496
2.285,-0.593229514714
2.29,-0.682790974468
2.295,-0.776289201684
2.3,-0.865850661437
2.305,-0.943109722873
2.31,-1.01224920142
2.315,-1.0774519125
2.32,-1.11804982695
2.325,-1.14659139105
2.33,-1.16701337226
2.335,-1.17095013972
2.34,-1.15471097394
2.345,-1.12616940984
2.35,-1.08557149539
2.355,-1.02455159974
2.36,-0.959348888653
2.365,-0.878153059755
2.37,-0.788591600001
2.375,-0.694847324819
2.38,-0.601349097604
2.385,-0.50366805496
2.39,-0.414352643173
2.395,-0.324791183419
2.4,-0.247532121983
2.405,-0.17814659547
2.41,-0.117126699814
2.415,-0.0642263870468
2.42,-0.027811288026
2.425,0.00491309149947
2.43,0.0332086076305
2.435,0.0536305888381
2.44,0.065932987156
2.445,0.0617501717279
2.45,0.0617501717279
2.455,0.0536305888381
2.46,0.0332086076305
2.465,0.0130326743893
2.47,-0.0196917051362
2.475,-0.056106804157
2.48,-0.105070349462
2.485,-0.166090245119
2.49,-0.231046908237
2.495,-0.304369202211
2.5,-0.385811079075
2.505,-0.467006907973
2.51,-0.564687950617
2.515,-0.654249410371
2.52,-0.743810870124
2.525,-0.833372329878
2.53,-0.914568158776
2.535,-0.992073268179
2.54,-1.04891034841
2.545,-1.09787389371
2.55,-1.13035222527
2.555,-1.14659139105
2.56,-1.15077420648
2.565,-1.13428899273
2.57,-1.11411305949
2.575,-1.07326909708
2.58,-1.01643201685
2.585,-0.951229305763
2.59,-0.873970244327
2.595,-0.784408784573
2.6,-0.690910557358
2.605,-0.601349097604
2.61,-0.50366805496
2.615,-0.418289410634
2.62,-0.341030349198
2.625,-0.259588472334
2.63,-0.198568576678
2.635,-0.145668263911
2.64,-0.0927679511442
2.645,-0.0521700366953
2.65,-0.0196917051362
2.655,0.00491309149947
2.66,0.0250890247407
2.665,0.0332086076305
2.67,0.0373914230586
2.675,0.0332086076305
2.68,0.021152257279
2.685,0.00491309149947
2.69,-0.0196917051362
2.695,-0.056106804157
2.7,-0.0969507665723
2.705,-0.141731496449
2.71,-0.206688159567
2.715,-0.267708055224
2.72,-0.341030349198
2.725,-0.426408993524
2.73,-0.515970453278
2.735,-0.605531913032
2.74,-0.694847324819
2.745,-0.784408784573
2.75,-0.865850661437
2.755,-0.939172955412
2.76,-1.00831243396
2.765,-1.05309316384
2.77,-1.08950826286
2.775,-1.11411305949
2.78,-1.11804982695
2.785,-1.11804982695
2.79,-1.09787389371
2.795,-1.06514951419
2.8,-1.01643201685
2.805,-0.955412121191
2.81,-0.886272642645
2.815,-0.804830765781
2.82,-0.711332538565
2.825,-0.621771078811
2.83,-0.540329201947
2.835,-0.450767742193
2.84,-0.369571913296
2.845,-0.296249619321
2.85,-0.222927325347
2.855,-0.17002701258
2.86,-0.121309515242
2.865,-0.0765287853646
2.87,-0.0440504538055
2.875,-0.0196917051362
2.88,0.00491309149947
2.885,0.0130326743893
2.89,0.016969441851
2.895,0.016969441851
2.9,0.000730276071408
2.905,-0.00738930681837
2.91,-0.0359308709158
2.915,-0.0723459699366
2.92,-0.100887534034
2.925,-0.153787846801
2.93,-0.210870974995
2.935,-0.271890870652
2.94,-0.34496711666
2.945,-0.422472226062
2.95,-0.51178763785
2.955,-0.601349097604
2.96,-0.690910557358
2.965,-0.784408784573
2.97,-0.870033476866
2.975,-0.951229305763
2.98,-1.01643201685
2.985,-1.0774519125
2.99,-1.12223264238
2.995,-1.15077420648
3,-1.16701337226
3.005,-1.16701337226
3.01,-1.15077420648
3.015,-1.12223264238
3.02,-1.0774519125
3.025,-1.02036878431
3.03,-0.947292538302
3.035,-0.865850661437
3.04,-0.776289201684
3.045,-0.67860815904
3.05,-0.585109931824
3.055,-0.487428889181
3.06,-0.397867429427
3.065,-0.316671600529
3.07,-0.239166491127
3.075,-0.17002701258
3.08,-0.113189932352
3.085,-0.0602896195851
3.09,-0.0236284725979
3.095,0.0130326743893
3.1,0.0332086076305
3.105,0.0496938213764
3.11,0.065932987156
3.115,0.065932987156
