"Latest: Time (s)","Latest: Magnetic Field (mT)"
16.69,-1.08557149539
16.695,-0.943109722873
16.7,-0.719452121455
16.705,-0.471189723401
16.71,-0.259588472334
16.715,-0.109007116924
16.72,-0.0155088897081
16.725,0.0130326743893
16.73,-0.00738930681837
16.735,-0.0888311836825
16.74,-0.231046908237
16.745,-0.434528576414
16.75,-0.67860815904
16.755,-0.922933789632
16.76,-1.09369107828
16.765,-1.16701337226
16.77,-1.12223264238
16.775,-0.967468471543
16.78,-0.731508471807
16.785,-0.467006907973
16.79,-0.235229723665
16.795,-0.0765287853646
16.8,0.016969441851
16.805,0.0617501717279
16.81,0.0455110059484
16.815,-0.027811288026
16.82,-0.153787846801
16.825,-0.341030349198
16.83,-0.585109931824
16.835,-0.83730909734
16.84,-1.03267118263
16.845,-1.13847180816
16.85,-1.13428899273
16.855,-1.01643201685
16.86,-0.809013581209
16.865,-0.552631600265
16.87,-0.316671600529
16.875,-0.141731496449
16.88,-0.027811288026
16.885,0.0250890247407
16.89,0.021152257279
16.895,-0.0359308709158
16.9,-0.149851079339
16.905,-0.332910766308
16.91,-0.568870766045
16.915,-0.817133164099
16.92,-1.01643201685
16.925,-1.11411305949
16.93,-1.1059934766
16.935,-0.992073268179
16.94,-0.788591600001
16.945,-0.536392434486
16.95,-0.312488785101
16.955,-0.145668263911
16.96,-0.0398676383775
16.965,0.00884985896118
16.97,0.000730276071408
16.975,-0.0602896195851
16.98,-0.182329410898
16.985,-0.373508680757
16.99,-0.609468680494
16.995,-0.865850661437
17,-1.06121274672
17.005,-1.16283055683
17.01,-1.14240857562
17.015,-1.02455159974
17.02,-0.809013581209
17.025,-0.544512017375
17.03,-0.300432434749
17.035,-0.117126699814
17.04,0.000730276071408
17.045,0.0536305888381
17.05,0.0536305888381
17.055,-0.0032064913903
17.06,-0.113189932352
17.065,-0.292066803893
17.07,-0.524090036168
17.075,-0.784408784573
17.08,-1.00019285107
17.085,-1.12616940984
17.09,-1.14240857562
17.095,-1.04497358095
17.1,-0.85354826312
17.105,-0.597412330142
17.11,-0.357269514978
17.115,-0.17002701258
17.12,-0.0479872212672
17.125,0.021152257279
17.13,0.0292718401688
17.135,-0.0196917051362
17.14,-0.125246282703
17.145,-0.288130036432
17.15,-0.51990722074
17.155,-0.776289201684
17.16,-0.98789045275
17.165,-1.1059934766
17.17,-1.11411305949
17.175,-1.00831243396
17.18,-0.82106993156
17.185,-0.572807533506
17.19,-0.341030349198
17.195,-0.166090245119
17.2,-0.0479872212672
17.205,0.00884985896118
17.21,0.00884985896118
17.215,-0.0521700366953
17.22,-0.157970662229
17.225,-0.341030349198
17.23,-0.576990348934
17.235,-0.82918951445
17.24,-1.03685399806
17.245,-1.15077420648
17.25,-1.15889378937
17.255,-1.04497358095
17.26,-0.83730909734
17.265,-0.568870766045
17.27,-0.320608367991
17.275,-0.129429098131
17.28,-0.00738930681837
17.285,0.0578134042662
17.29,0.0536305888381
17.295,0.00884985896118
17.3,-0.0969507665723
17.305,-0.271890870652
17.31,-0.49554847207
17.315,-0.751930453014
17.32,-0.971651286971
17.325,-1.10993024406
17.33,-1.15077420648
17.335,-1.06514951419
17.34,-0.882089827217
17.345,-0.633827429163
17.35,-0.385811079075
17.355,-0.190448993788
17.36,-0.0521700366953
17.365,0.016969441851
17.37,0.0292718401688
17.375,-0.0155088897081
17.38,-0.121309515242
17.385,-0.280010453542
17.39,-0.50366805496
17.395,-0.760050035904
17.4,-0.975588054433
17.405,-1.10181066117
17.41,-1.12223264238
17.415,-1.02455159974
17.42,-0.841491912768
17.425,-0.593229514714
17.43,-0.357269514978
17.435,-0.174209828008
17.44,-0.056106804157
17.445,0.00491309149947
17.45,0.00491309149947
17.455,-0.0440504538055
17.46,-0.157970662229
17.465,-0.33684753377
17.47,-0.568870766045
17.475,-0.825252746989
17.48,-1.02455159974
17.485,-1.14659139105
17.49,-1.15889378937
17.495,-1.04497358095
17.5,-0.841491912768
17.505,-0.585109931824
17.51,-0.332910766308
17.515,-0.141731496449
17.52,-0.0113260742801
17.525,0.0496938213764
17.53,0.0578134042662
17.535,0.0130326743893
17.54,-0.0969507665723
17.545,-0.263771287762
17.55,-0.499731287498
17.555,-0.756113268442
17.56,-0.975588054433
17.565,-1.11804982695
17.57,-1.15077420648
17.575,-1.06514951419
17.58,-0.873970244327
17.585,-0.625707846273
17.59,-0.377691496185
17.595,-0.18626617836
17.6,-0.0521700366953
17.605,0.016969441851
17.61,0.0332086076305
17.615,-0.0113260742801
17.62,-0.113189932352
17.625,-0.275827638114
17.63,-0.50366805496
17.635,-0.756113268442
17.64,-0.971651286971
17.645,-1.09787389371
17.65,-1.11804982695
17.655,-1.02455159974
17.66,-0.83730909734
17.665,-0.589292747252
17.67,-0.357269514978
17.675,-0.174209828008
17.68,-0.0479872212672
17.685,0.00491309149947
17.69,0.0130326743893
17.695,-0.0440504538055
17.7,-0.157970662229
17.705,-0.332910766308
17.71,-0.560751183155
17.715,-0.812950348671
17.72,-1.02455159974
17.725,-1.15077420648
17.73,-1.15889378937
17.735,-1.05309316384
17.74,-0.849611495658
17.745,-0.580927116396
17.75,-0.332910766308
17.755,-0.141731496449
17.76,-0.00738930681837
17.765,0.0536305888381
17.77,0.0536305888381
17.775,0.00884985896118
17.78,-0.0969507665723
17.785,-0.267708055224
17.79,-0.491611704609
17.795,-0.747747637586
17.8,-0.975588054433
17.805,-1.11411305949
17.81,-1.14659139105
17.815,-1.06121274672
17.82,-0.873970244327
17.825,-0.625707846273
17.83,-0.377691496185
17.835,-0.182329410898
17.84,-0.0521700366953
17.845,0.016969441851
17.85,0.0292718401688
17.855,-0.0155088897081
17.86,-0.121309515242
17.865,-0.283947221003
17.87,-0.50366805496
17.875,-0.760050035904
17.88,-0.971651286971
17.885,-1.09787389371
17.89,-1.11804982695
17.895,-1.02455159974
17.9,-0.83730909734
17.905,-0.597412330142
17.91,-0.357269514978
17.915,-0.17814659547
17.92,-0.0521700366953
17.925,0.00491309149947
17.93,0.00884985896118
17.935,-0.0440504538055
17.94,-0.153787846801
17.945,-0.32872795088
17.95,-0.560751183155
17.955,-0.812950348671
17.96,-1.02455159974
17.965,-1.14659139105
17.97,-1.16283055683
17.975,-1.05309316384
17.98,-0.85354826312
17.985,-0.589292747252
17.99,-0.341030349198
17.995,-0.145668263911
18,-0.0155088897081
18.005,0.0496938213764
18.01,0.0617501717279
18.015,0.016969441851
