Unit:(mV)
                     CH1         CH2
Frequency      13.682 Hz   11.901 Hz
00320             -28.00    -1000.00
00321             -32.00    -1040.00
00322             -36.00    -1040.00
00323             -80.00    -1000.00
00324            -112.00     -880.00
00325            -116.00     -600.00
00326            -120.00     -280.00
00327            -112.00     -280.00
00328            -116.00     -280.00
00329            -116.00     -280.00
00330            -120.00     -240.00
00331            -120.00     -280.00
00332            -116.00     -240.00
00333             -96.00     -280.00
00334             -56.00     -280.00
00335             -28.00     -920.00
00336             -32.00    -1560.00
00337             -28.00    -1840.00
00338             -28.00    -1840.00
00339             -20.00    -1880.00
00340             -28.00    -1840.00
00341             -28.00    -1840.00
00342             -28.00    -1880.00
00343             -32.00    -1880.00
00344             -68.00    -1840.00
00345            -100.00    -1840.00
00346            -124.00    -1520.00
00347            -128.00     -800.00
00348            -128.00     -360.00
00349            -124.00     -280.00
00350            -124.00     -280.00
00351            -120.00     -280.00
00352            -116.00     -280.00
00353            -120.00     -240.00
00354            -120.00     -240.00
00355            -116.00     -200.00
00356             -96.00     -520.00
00357             -56.00    -1040.00
00358             -24.00    -1440.00
00359             -24.00    -1480.00
00360             -24.00    -1480.00
00361             -28.00    -1520.00
00362             -28.00    -1520.00
00363             -28.00    -1560.00
00364             -28.00    -1560.00
00365             -28.00    -1600.00
00366             -32.00    -1600.00
00367             -44.00    -1360.00
00368             -64.00     -880.00
00369             -80.00     -280.00
00370             -84.00     -280.00
00371             -80.00     -320.00
00372             -80.00     -240.00
00373             -80.00     -240.00
00374             -80.00     -200.00
00375             -80.00     -200.00
00376             -84.00     -200.00
00377             -72.00     -320.00
00378             -76.00     -880.00
00379             -76.00    -1360.00
00380             -64.00    -1480.00
00381             -48.00    -1520.00
00382             -36.00    -1520.00
00383             -28.00    -1520.00
00384             -20.00    -1520.00
00385             -24.00    -1560.00
00386             -28.00    -1560.00
00387             -28.00    -1560.00
00388             -32.00    -1440.00
00389             -28.00    -1040.00
00390             -24.00     -440.00
00391             -32.00     -280.00
00392             -32.00     -280.00
00393             -56.00     -280.00
00394             -84.00     -240.00
00395            -108.00     -240.00
00396            -116.00     -240.00
00397            -116.00     -240.00
00398            -120.00     -200.00
00399            -120.00     -720.00
00400            -116.00    -1400.00
00401            -124.00    -1680.00
00402            -116.00    -1680.00
00403            -116.00    -1640.00
00404            -120.00    -1680.00
00405            -116.00    -1720.00
00406            -120.00    -1720.00
00407            -120.00    -1720.00
00408            -100.00    -1720.00
00409             -84.00    -1720.00
00410             -52.00    -1520.00
00411             -36.00    -1000.00
00412             -24.00     -320.00
00413             -24.00     -320.00
00414             -28.00     -280.00
00415             -28.00     -280.00
00416             -28.00     -360.00
00417             -28.00     -280.00
00418             -28.00     -280.00
00419             -32.00     -240.00
00420             -32.00     -240.00
00421             -32.00     -800.00
00422             -28.00    -1440.00
00423             -52.00    -1760.00
00424             -76.00    -1760.00
00425            -108.00    -1800.00
00426            -120.00    -1800.00
00427            -124.00    -1840.00
00428            -124.00    -1880.00
00429            -120.00    -1880.00
00430            -128.00    -1840.00
00431            -124.00    -1920.00
00432            -128.00    -1840.00
00433            -124.00    -1400.00
00434            -128.00     -480.00
00435            -128.00     -280.00
00436            -124.00     -280.00
00437            -124.00     -280.00
00438            -108.00     -280.00
00439             -80.00     -240.00
00440             -44.00     -240.00
00441             -32.00     -240.00
00442             -28.00     -240.00
00443             -32.00     -320.00
00444             -32.00     -880.00
00445             -28.00    -1400.00
00446             -32.00    -1560.00
00447             -28.00    -1560.00
00448             -24.00    -1560.00
00449             -28.00    -1560.00
00450             -24.00    -1560.00
00451             -48.00    -1560.00
00452             -76.00    -1600.00
00453            -112.00    -1640.00
00454            -120.00    -1640.00
00455            -120.00    -1520.00
00456            -116.00    -1080.00
00457            -116.00     -400.00
00458            -116.00     -320.00
00459            -116.00     -320.00
00460            -116.00     -280.00
00461            -116.00     -280.00
00462            -120.00     -280.00
00463            -116.00     -280.00
00464            -116.00     -240.00
00465            -100.00     -200.00
00466             -76.00     -360.00
00467             -48.00     -920.00
00468             -28.00    -1400.00
00469             -20.00    -1560.00
00470             -28.00    -1560.00
00471             -28.00    -1640.00
00472             -24.00    -1640.00
00473             -24.00    -1680.00
00474             -20.00    -1640.00
00475             -28.00    -1640.00
00476             -32.00    -1640.00
00477             -32.00    -1680.00
00478             -48.00    -1480.00
00479             -72.00     -960.00
00480            -108.00     -360.00
00481            -120.00     -400.00
00482            -120.00     -320.00
00483            -128.00     -320.00
00484            -124.00     -280.00
00485            -120.00     -280.00
00486            -124.00     -280.00
00487            -124.00     -280.00
00488            -128.00     -240.00
00489            -120.00     -440.00
00490            -120.00     -720.00
00491            -116.00    -1000.00
00492             -88.00    -1000.00
00493             -56.00     -960.00
00494             -28.00    -1000.00
00495             -28.00     -960.00
00496             -32.00    -1040.00
00497             -28.00    -1040.00
00498             -32.00    -1040.00
00499             -28.00    -1040.00
00500             -28.00     -960.00
