Unit:(mV)
                     CH1         CH2
Frequency      14.307 Hz    5.858 Hz
00677            -104.00    -1080.00
00678             -96.00    -1080.00
00679             -80.00    -1080.00
00680             -68.00    -1080.00
00681             -52.00    -1080.00
00682             -36.00    -1080.00
00683             -28.00    -1080.00
00684             -32.00    -1080.00
00685             -32.00    -1040.00
00686             -28.00    -1040.00
00687             -32.00    -1000.00
00688             -28.00     -960.00
00689             -32.00     -920.00
00690             -32.00     -920.00
00691             -32.00     -920.00
00692             -32.00     -880.00
00693             -24.00     -840.00
00694             -20.00     -800.00
00695             -28.00     -760.00
00696             -28.00     -720.00
00697             -28.00     -720.00
00698             -28.00     -680.00
00699             -32.00     -640.00
00700             -32.00     -600.00
00701             -36.00     -600.00
00702             -32.00     -560.00
00703             -32.00     -520.00
00704             -32.00     -480.00
00705             -32.00     -440.00
00706             -36.00     -400.00
00707             -44.00     -400.00
00708             -52.00     -400.00
00709             -68.00     -280.00
00710             -80.00     -280.00
00711             -92.00     -280.00
00712            -100.00     -280.00
00713            -116.00     -280.00
00714            -116.00     -320.00
00715            -124.00     -280.00
00716            -124.00     -280.00
00717            -116.00     -280.00
00718            -120.00     -280.00
00719            -120.00     -240.00
00720            -120.00     -280.00
00721            -120.00     -280.00
00722            -116.00     -280.00
00723            -116.00     -280.00
00724            -124.00     -280.00
00725            -120.00     -280.00
00726            -116.00     -280.00
00727            -120.00     -280.00
00728            -116.00     -280.00
00729            -116.00     -280.00
00730            -124.00     -280.00
00731            -116.00     -280.00
00732            -116.00     -280.00
00733            -116.00     -280.00
00734            -116.00     -280.00
00735            -116.00     -280.00
00736            -116.00     -280.00
00737            -120.00     -280.00
00738            -116.00     -280.00
00739            -116.00     -280.00
00740            -112.00     -280.00
00741            -104.00     -280.00
00742             -88.00     -280.00
00743             -80.00     -280.00
00744             -64.00     -280.00
00745             -48.00     -280.00
00746             -40.00     -280.00
00747             -28.00     -280.00
00748             -28.00     -280.00
00749             -28.00     -280.00
00750             -36.00     -320.00
00751             -32.00     -280.00
00752             -32.00     -280.00
00753             -32.00     -280.00
00754             -32.00     -280.00
00755             -32.00     -280.00
00756             -32.00     -280.00
00757             -28.00     -280.00
00758             -28.00     -280.00
00759             -28.00     -280.00
00760             -32.00     -280.00
00761             -32.00     -280.00
00762             -28.00     -280.00
00763             -28.00     -280.00
00764             -28.00     -280.00
00765             -32.00     -280.00
00766             -32.00     -280.00
00767             -28.00     -280.00
00768             -28.00     -280.00
00769             -24.00     -280.00
00770             -32.00     -280.00
00771             -32.00     -280.00
00772             -44.00     -280.00
00773             -56.00     -280.00
00774             -72.00     -280.00
00775             -88.00     -280.00
00776            -100.00     -280.00
00777            -116.00     -280.00
00778            -124.00     -280.00
00779            -132.00     -320.00
00780            -128.00     -280.00
00781            -128.00     -280.00
00782            -128.00     -280.00
00783            -128.00     -280.00
00784            -128.00     -280.00
00785            -128.00     -280.00
00786            -128.00     -280.00
00787            -124.00     -280.00
00788            -124.00     -280.00
00789            -128.00     -280.00
00790            -128.00     -320.00
00791            -124.00     -400.00
00792            -120.00     -440.00
00793            -128.00     -480.00
00794            -124.00     -560.00
00795            -124.00     -640.00
00796            -124.00     -720.00
00797            -120.00     -760.00
00798            -120.00     -880.00
00799            -124.00     -960.00
00800            -124.00    -1080.00
00801            -128.00    -1160.00
00802            -124.00    -1200.00
00803            -120.00    -1240.00
00804            -120.00    -1360.00
00805            -124.00    -1360.00
00806            -116.00    -1480.00
00807            -108.00    -1520.00
00808             -92.00    -1560.00
00809             -80.00    -1600.00
00810             -68.00    -1680.00
00811             -56.00    -1680.00
00812             -44.00    -1720.00
00813             -32.00    -1760.00
00814             -28.00    -1800.00
00815             -28.00    -1840.00
00816             -28.00    -1880.00
00817             -28.00    -1880.00
00818             -28.00    -1880.00
00819             -24.00    -1880.00
00820             -28.00    -1880.00
00821             -24.00    -1880.00
00822             -20.00    -1880.00
00823             -24.00    -1880.00
00824             -28.00    -1880.00
00825             -32.00    -1880.00
00826             -32.00    -1880.00
00827             -32.00    -1880.00
00828             -32.00    -1880.00
00829             -32.00    -1880.00
00830             -28.00    -1880.00
00831             -32.00    -1880.00
00832             -28.00    -1880.00
00833             -24.00    -1880.00
00834             -28.00    -1880.00
00835             -28.00    -1880.00
00836             -28.00    -1880.00
00837             -32.00    -1880.00
00838             -40.00    -1880.00
00839             -48.00    -1880.00
00840             -52.00    -1880.00
00841             -60.00    -1880.00
00842             -64.00    -1880.00
00843             -72.00    -1880.00
00844             -76.00    -1880.00
00845             -88.00    -1880.00
00846             -84.00    -1920.00
00847             -84.00    -1880.00
00848             -80.00    -1880.00
00849             -80.00    -1880.00
00850             -80.00    -1880.00
00851             -84.00    -1880.00
00852             -88.00    -1880.00
00853             -80.00    -1920.00
00854             -80.00    -1880.00
00855             -80.00    -1880.00
00856             -80.00    -1920.00
00857             -76.00    -1920.00
00858             -80.00    -1880.00
00859             -76.00    -1920.00
00860             -80.00    -1880.00
00861             -80.00    -1880.00
00862             -84.00    -1880.00
00863             -84.00    -1920.00
00864             -84.00    -1920.00
00865             -84.00    -1920.00
00866             -76.00    -1880.00
00867             -72.00    -1920.00
00868             -72.00    -1880.00
00869             -72.00    -1880.00
00870             -72.00    -1920.00
00871             -72.00    -1920.00
00872             -68.00    -1920.00
00873             -68.00    -1880.00
00874             -68.00    -1880.00
00875             -64.00    -1920.00
00876             -52.00    -1920.00
00877             -48.00    -1920.00
00878             -40.00    -1920.00
00879             -36.00    -1920.00
00880             -32.00    -1920.00
00881             -32.00    -1920.00
00882             -28.00    -1960.00
00883             -28.00    -1920.00
00884             -24.00    -1920.00
00885             -24.00    -1880.00
00886             -28.00    -1920.00
00887             -28.00    -1920.00
00888             -32.00    -1920.00
00889             -28.00    -1960.00
00890             -28.00    -1920.00
00891             -28.00    -1960.00
00892             -28.00    -1920.00
00893             -28.00    -1920.00
00894             -28.00    -1920.00
00895             -28.00    -1920.00
00896             -28.00    -1920.00
00897             -28.00    -1920.00
00898             -28.00    -1960.00
00899             -32.00    -1880.00
00900             -28.00    -1880.00
00901             -32.00    -1920.00
00902             -32.00    -1880.00
00903             -32.00    -1840.00
00904             -36.00    -1760.00
00905             -44.00    -1800.00
00906             -56.00    -1720.00
00907             -68.00    -1680.00
00908             -84.00    -1560.00
00909             -92.00    -1560.00
00910            -108.00    -1520.00
00911            -112.00    -1440.00
00912            -124.00    -1400.00
00913            -124.00    -1400.00
00914            -116.00    -1280.00
00915            -124.00    -1240.00
00916            -124.00    -1120.00
00917            -120.00    -1040.00
00918            -120.00     -920.00
00919            -120.00     -880.00
00920            -116.00     -800.00
00921            -120.00     -720.00
00922            -120.00     -600.00
00923            -120.00     -520.00
00924            -120.00     -520.00
00925            -124.00     -440.00
00926            -124.00     -400.00
00927            -124.00     -400.00
00928            -124.00     -360.00
00929            -124.00     -360.00
00930            -120.00     -400.00
00931            -124.00     -360.00
00932            -120.00     -360.00
00933            -124.00     -320.00
00934            -120.00     -320.00
00935            -116.00     -360.00
00936            -120.00     -320.00
00937            -120.00     -360.00
00938            -116.00     -360.00
00939            -112.00     -320.00
00940            -104.00     -320.00
00941             -92.00     -360.00
00942             -80.00     -360.00
00943             -64.00     -320.00
00944             -52.00     -320.00
00945             -40.00     -280.00
00946             -28.00     -280.00
00947             -28.00     -280.00
00948             -28.00     -320.00
00949             -32.00     -360.00
00950             -32.00     -320.00
00951             -32.00     -360.00
00952             -28.00     -360.00
00953             -32.00     -320.00
00954             -32.00     -320.00
00955             -28.00     -280.00
00956             -32.00     -320.00
00957             -32.00     -280.00
00958             -24.00     -280.00
00959             -28.00     -280.00
00960             -32.00     -280.00
00961             -32.00     -320.00
00962             -28.00     -320.00
00963             -32.00     -320.00
00964             -32.00     -320.00
00965             -32.00     -280.00
00966             -36.00     -320.00
00967             -28.00     -280.00
00968             -32.00     -280.00
00969             -28.00     -280.00
00970             -24.00     -280.00
00971             -32.00     -280.00
00972             -44.00     -280.00
00973             -56.00     -280.00
00974             -76.00     -280.00
00975             -84.00     -280.00
00976             -96.00     -280.00
00977            -108.00     -280.00
00978            -116.00     -280.00
00979            -124.00     -280.00
00980            -128.00     -280.00
00981            -124.00     -280.00
00982            -120.00     -280.00
00983            -124.00     -240.00
00984            -128.00     -240.00
00985            -124.00     -280.00
00986            -124.00     -280.00
00987            -128.00     -280.00
00988            -132.00     -240.00
00989            -128.00     -240.00
00990            -124.00     -280.00
00991            -128.00     -240.00
00992            -124.00     -240.00
00993            -124.00     -240.00
00994            -124.00     -240.00
00995            -124.00     -240.00
00996            -124.00     -240.00
00997            -128.00     -240.00
00998            -132.00     -240.00
00999            -124.00     -240.00
01000            -128.00     -280.00
01001            -132.00     -280.00
01002            -132.00     -240.00
01003            -120.00     -280.00
01004            -124.00     -280.00
01005            -128.00     -320.00
01006            -124.00     -400.00
01007            -112.00     -400.00
01008            -100.00     -440.00
01009             -88.00     -480.00
01010             -76.00     -560.00
01011             -64.00     -560.00
01012             -48.00     -640.00
01013             -36.00     -720.00
01014             -36.00     -800.00
01015             -32.00     -800.00
01016             -28.00     -880.00
01017             -28.00     -920.00
01018             -28.00     -960.00
01019             -24.00    -1040.00
01020             -28.00    -1080.00
01021             -32.00    -1080.00
01022             -28.00    -1160.00
01023             -24.00    -1240.00
01024             -28.00    -1280.00
01025             -36.00    -1280.00
01026             -36.00    -1360.00
01027             -32.00    -1400.00
01028             -32.00    -1400.00
01029             -32.00    -1440.00
01030             -32.00    -1480.00
