"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0.545,-0.275827638114
0.55,-0.275827638114
0.555,-0.275827638114
0.56,-0.271890870652
0.565,-0.255651704872
0.57,-0.222927325347
0.575,-0.182329410898
0.58,-0.105070349462
0.585,0.00884985896118
0.59,0.183789963041
0.595,0.432052361095
0.6,0.790052152144
0.605,1.29051371571
0.61,1.96591538336
0.615,2.8652207004
0.62,3.98793757088
0.625,5.26148184475
0.63,5.9083419483
0.635,5.89210278252
0.64,5.87192684928
0.645,5.86380726639
0.65,5.86380726639
0.655,5.87586361674
0.66,5.88816601506
0.665,5.91252476373
0.67,5.4812026787
0.675,4.41532288845
0.68,3.43875850998
0.685,2.60465590403
0.69,1.94549340216
0.695,1.42485590534
0.7,1.02207538442
0.705,0.70861027528
0.71,0.472650275544
0.715,0.297710171464
0.72,0.151311631482
0.725,0.0536305888381
0.73,-0.0236284725979
0.735,-0.0846483682544
0.74,-0.133611913559
0.745,-0.16190742969
0.75,-0.18626617836
0.755,-0.210870974995
0.76,-0.227110140775
0.765,-0.231046908237
0.77,-0.239166491127
0.775,-0.243349306555
0.78,-0.243349306555
0.785,-0.243349306555
0.79,-0.243349306555
0.795,-0.243349306555
0.8,-0.243349306555
0.805,-0.243349306555
0.81,-0.235229723665
0.815,-0.222927325347
0.82,-0.210870974995
0.825,-0.190448993788
0.83,-0.166090245119
0.835,-0.129429098131
0.84,-0.0846483682544
0.845,-0.0236284725979
0.85,0.0536305888381
0.855,0.151311631482
0.86,0.281471005685
0.865,0.444354759413
0.87,0.651773195052
0.875,0.903972360567
0.88,1.21719142174
0.885,1.60373277689
0.89,2.07589882433
0.895,2.64131705101
0.9,3.30047955288
0.905,4.06125986486
0.91,4.84664497347
0.915,5.68050153145
0.92,5.91670757916
0.925,5.90440518084
0.93,5.88816601506
0.935,5.88004643217
0.94,5.87192684928
0.945,5.86774403385
0.95,5.86380726639
0.955,5.87192684928
0.96,5.88004643217
0.965,5.88816601506
0.97,5.9083419483
0.975,5.91252476373
0.98,5.72946507676
