d, omega_{driving}, omega_{driven}/omega_{driving}, Delta phi, t_{run}, Avg, Dev, Switch dir., Avg deriv., Linear fit coef.
12.25,10.0,0.7,0.0,25.0,-0.42058134633295996,0.136850154188729,False,0.022125809292793137,0.02211974145157349
12.25,10.0,0.71,0.0,25.0,-0.4295815778931701,0.1373649750396245,False,0.02221706585619006,0.022203854742459197
12.25,10.0,0.72,0.0,25.0,-0.4382384009366759,0.13824019010739935,False,0.02232654016193101,0.02233717210920164
12.25,10.0,0.73,0.0,25.0,-0.4467207104230144,0.1390633588495626,False,0.022430830812956146,0.022461110745113824
12.25,10.0,0.74,0.0,25.0,-0.4565703597350221,0.13918732644271467,False,0.022500640354065325,0.02247185670297289
12.25,10.0,0.75,0.0,25.0,-0.4660800631221631,0.13949856030625185,False,0.022563476288867863,0.02252256855521768
12.25,10.0,0.76,0.0,25.0,-0.4764503620394345,0.13915827405804315,False,0.022472997119365186,0.02247822916316164
12.25,10.0,0.77,0.0,25.0,-0.4867851891159737,0.1385771420736718,False,0.022381481291578315,0.022408475420575794
12.25,10.0,0.78,0.0,25.0,-0.49772287245617797,0.13768104440147486,False,0.02236286775678372,0.022298221175608462
12.25,10.0,0.79,0.0,25.0,-0.5070047396289845,0.13818934981357198,False,0.02244464622694035,0.02236469795287999
12.25,10.0,0.8,0.0,25.0,-0.5150314201142551,0.1398466756236201,False,0.02258703058849304,0.022581072205507466
12.25,10.0,0.81,0.0,25.0,-0.5238307975026977,0.14082012743414998,False,0.022688384946839824,0.022713596306419104
12.25,10.0,0.82,0.0,25.0,-0.535312178866567,0.1391678192681578,False,0.022541411038955458,0.022507126081778066
12.25,10.0,0.83,0.0,25.0,-0.5449731596344833,0.1393366212845033,False,0.022530789916533202,0.022533148525325668
12.25,10.0,0.84,0.0,25.0,-0.5529294016201819,0.1411971860113283,False,0.022716891036477654,0.02279429426872463
12.25,10.0,0.85,0.0,25.0,-0.5646871622201827,0.1392698720606711,False,0.022553627348785802,0.022520334606874685
12.25,10.0,0.86,0.0,25.0,-0.5726278086031975,0.14117702731084866,False,0.022751538567745068,0.022806523311156086
12.25,10.0,0.87,0.0,25.0,-0.5838875086752201,0.13982814136785238,False,0.022643484359756473,0.022598346548021783
12.25,10.0,0.88,0.0,25.0,-0.5920822067028249,0.14146820789061645,False,0.022834776495116713,0.022859546248629826
12.25,10.0,0.89,0.0,25.0,-0.6032316562266322,0.14014232425735418,False,0.02264010443665311,0.02264141289870131
12.25,10.0,0.9,0.0,25.0,-0.6113832437844068,0.14190708448103112,False,0.02288323018881809,0.022936710659788653
12.25,10.0,0.91,0.0,25.0,-0.6219891890816888,0.1411892563258217,False,0.022758864516120053,0.02281187192188302
12.25,10.0,0.92,0.0,25.0,-0.6322954992091065,0.14083223937390119,False,0.02271803368184007,0.022746122882085065
12.25,10.0,0.93,0.0,25.0,-0.6407573242116452,0.14230677824708224,False,0.02293221714435039,0.023001071841839076
12.25,10.0,0.94,0.0,25.0,-0.6506289477162794,0.1424571630727281,False,0.0229849449553248,0.023035205408851546
12.25,10.0,0.95,0.0,25.0,-0.660995610948543,0.14216656943133413,False,0.0229217212266269,0.022973901220553684
12.25,10.0,0.96,0.0,25.0,-0.6712596372182812,0.14204289018858895,False,0.022819187312448832,0.02293323386447952
12.25,10.0,0.97,0.0,25.0,-0.6813469596122222,0.14213257400732268,False,0.02281001819661376,0.022939472070433158
12.25,10.0,0.98,0.0,25.0,-0.6913557828843466,0.14231942593312935,False,0.022823485195904544,0.02296438170829973
12.25,10.0,0.99,0.0,25.0,-0.7012448153222923,0.14251959835379585,False,0.02285376201909607,0.02299457780167612
12.25,10.0,1.0,0.0,25.0,-0.710884943576217,0.14268589715646454,False,0.022894304626564384,0.0230170398203929
